Own by Team,From Team,Year,Round
1,1,6,1
1,1,6,2
1,1,6,3
1,1,6,4
1,1,6,5
1,1,7,1
1,1,7,2
1,1,7,3
1,1,7,4
1,1,7,5
1,1,3,1
1,1,3,2
1,1,3,3
1,1,3,4
1,1,3,5
1,1,4,1
1,1,4,2
1,1,4,3
1,1,4,4
1,1,4,5
1,1,5,1
1,1,5,2
1,1,5,3
1,1,5,4
1,1,5,5
2,2,6,1
2,2,6,2
2,2,6,3
2,2,6,4
2,2,6,5
2,2,7,1
2,2,7,2
2,2,7,3
2,2,7,4
2,2,7,5
2,2,3,1
2,2,3,2
2,2,3,3
2,2,3,4
2,2,3,5
2,2,4,1
2,2,4,2
2,2,4,3
2,2,4,4
2,2,4,5
2,2,5,1
2,2,5,2
2,2,5,3
2,2,5,4
2,2,5,5
3,3,6,1
3,3,6,2
3,3,6,3
3,3,6,4
3,3,6,5
3,3,7,1
3,3,7,2
3,3,7,3
3,3,7,4
3,3,7,5
3,3,3,1
3,3,3,2
3,3,3,3
3,3,3,4
3,3,3,5
3,3,4,1
3,3,4,2
3,3,4,3
3,3,4,4
3,3,4,5
3,3,5,1
3,3,5,2
3,3,5,3
3,3,5,4
3,3,5,5
4,4,6,1
4,4,6,2
4,4,6,3
4,4,6,4
4,4,6,5
4,4,7,1
4,4,7,2
4,4,7,3
4,4,7,4
4,4,7,5
4,4,3,1
4,4,3,2
4,4,3,3
4,4,3,4
4,4,3,5
4,4,4,1
4,4,4,2
4,4,4,3
4,4,4,4
4,4,4,5
4,4,5,1
4,4,5,2
4,4,5,3
4,4,5,4
4,4,5,5
5,5,6,1
5,5,6,2
5,5,6,3
5,5,6,4
5,5,6,5
5,5,7,1
5,5,7,2
5,5,7,3
5,5,7,4
5,5,7,5
5,5,3,1
5,5,3,2
5,5,3,3
5,5,3,4
5,5,3,5
5,5,4,1
5,5,4,2
5,5,4,3
5,5,4,4
5,5,4,5
5,5,5,1
5,5,5,2
5,5,5,3
5,5,5,4
5,5,5,5
6,6,6,1
6,6,6,2
6,6,6,3
6,6,6,4
6,6,6,5
6,6,7,1
6,6,7,2
6,6,7,3
6,6,7,4
6,6,7,5
6,6,3,1
6,6,3,2
6,6,3,3
6,6,3,4
6,6,3,5
6,6,4,1
6,6,4,2
6,6,4,3
6,6,4,4
6,6,4,5
6,6,5,1
6,6,5,2
6,6,5,3
6,6,5,4
6,6,5,5
7,7,6,1
7,7,6,2
7,7,6,3
7,7,6,4
7,7,6,5
7,7,7,1
7,7,7,2
7,7,7,3
7,7,7,4
7,7,7,5
7,7,3,1
7,7,3,2
7,7,3,3
7,7,3,4
7,7,3,5
7,7,4,1
7,7,4,2
7,7,4,3
7,7,4,4
7,7,4,5
7,7,5,1
7,7,5,2
7,7,5,3
7,7,5,4
7,7,5,5
8,8,6,1
8,8,6,2
8,8,6,3
8,8,6,4
8,8,6,5
8,8,7,1
8,8,7,2
8,8,7,3
8,8,7,4
8,8,7,5
8,8,3,1
8,8,3,2
8,8,3,3
8,8,3,4
8,8,3,5
8,8,4,1
8,8,4,2
8,8,4,3
8,8,4,4
8,8,4,5
8,8,5,1
8,8,5,2
8,8,5,3
8,8,5,4
8,8,5,5
9,9,6,1
9,9,6,2
9,9,6,3
9,9,6,4
9,9,6,5
9,9,7,1
9,9,7,2
9,9,7,3
9,9,7,4
9,9,7,5
9,9,3,1
9,9,3,2
9,9,3,3
9,9,3,4
9,9,3,5
9,9,4,1
9,9,4,2
9,9,4,3
9,9,4,4
9,9,4,5
9,9,5,1
9,9,5,2
9,9,5,3
9,9,5,4
9,9,5,5
10,10,6,1
10,10,6,2
10,10,6,3
10,10,6,4
10,10,6,5
10,10,7,1
10,10,7,2
10,10,7,3
10,10,7,4
10,10,7,5
10,10,3,1
10,10,3,2
10,10,3,3
10,10,3,4
10,10,3,5
10,10,4,1
10,10,4,2
10,10,4,3
10,10,4,4
10,10,4,5
10,10,5,1
10,10,5,2
10,10,5,3
10,10,5,4
10,10,5,5
11,11,6,1
11,11,6,2
11,11,6,3
11,11,6,4
11,11,6,5
11,11,7,1
11,11,7,2
11,11,7,3
11,11,7,4
11,11,7,5
11,11,3,1
11,11,3,2
11,11,3,3
11,11,3,4
11,11,3,5
11,11,4,1
11,11,4,2
11,11,4,3
11,11,4,4
11,11,4,5
11,11,5,1
11,11,5,2
11,11,5,3
11,11,5,4
11,11,5,5
