Game Number,Day,Play,Visitor Team,Visitor Score,Home Team,Home Score,Overtime,Shutout
1,1,True,12,3,8,0,False,False
2,1,True,9,3,21,5,False,False
3,1,True,5,6,13,2,False,False
4,1,True,1,6,17,2,False,False
5,1,True,16,1,2,5,False,False
6,1,True,20,3,24,4,False,False
7,2,True,15,2,3,3,False,False
8,2,True,6,0,22,1,True,True
9,2,True,11,3,7,2,True,True
10,2,True,14,3,10,4,True,True
11,3,True,18,2,4,3,False,False
12,3,True,23,1,19,4,False,False
13,3,True,24,4,12,1,False,False
14,3,True,21,1,9,3,False,False
15,3,True,17,3,1,2,True,False
16,3,True,13,3,5,2,True,True
17,4,True,10,0,14,3,False,False
18,4,True,7,4,11,0,False,False
19,4,True,3,3,15,6,False,False
20,4,True,16,2,6,3,False,False
21,5,True,19,4,23,3,True,False
22,5,True,4,0,18,1,False,False
23,5,True,12,1,20,5,False,False
24,5,True,2,4,16,2,False,False
25,6,True,24,3,8,2,True,False
26,6,True,2,5,22,0,False,False
27,6,True,19,0,7,3,False,False
28,6,True,13,2,15,6,False,False
29,7,True,4,6,14,1,False,False
30,7,True,21,3,17,4,False,False
31,7,True,5,2,3,4,False,False
32,7,True,10,1,18,0,False,False
33,7,True,23,3,11,0,False,False
34,8,True,1,3,9,4,True,True
35,8,True,22,4,6,2,False,False
36,8,True,8,4,20,6,False,False
37,8,True,24,1,12,5,False,False
38,8,True,15,3,13,4,True,False
39,8,True,2,2,16,4,False,False
40,9,True,11,3,19,1,False,False
41,9,True,17,3,21,2,True,False
42,9,True,7,3,23,2,True,True
43,9,True,10,2,4,4,False,False
44,9,True,3,1,5,5,False,False
45,9,True,9,4,1,3,False,False
46,10,True,12,4,24,3,True,False
47,10,True,22,3,2,2,False,False
48,10,True,18,3,10,2,True,False
49,10,True,4,2,14,4,False,False
50,11,True,16,3,6,2,True,False
51,11,True,20,2,8,1,False,False
52,11,True,19,0,11,3,False,False
53,11,True,23,4,7,0,False,False
54,12,True,13,2,3,5,False,False
55,12,True,1,2,21,3,False,False
56,12,True,15,6,5,0,False,False
57,12,True,17,3,9,1,False,False
58,12,True,16,3,22,1,False,False
59,12,True,14,2,18,3,True,False
60,13,True,24,1,20,3,False,False
61,13,True,7,4,19,2,False,False
62,13,True,6,3,2,1,False,False
63,13,True,4,2,10,3,True,False
64,13,True,8,2,12,3,True,True
65,13,True,11,0,23,2,False,False
66,14,True,5,3,15,5,False,False
67,14,True,9,3,17,2,True,False
68,14,True,21,3,1,4,False,False
69,14,True,3,4,13,2,False,False
70,14,True,14,0,4,3,False,False
71,14,True,22,2,16,4,False,False
72,15,True,8,3,24,1,False,False
73,15,True,10,4,18,2,False,False
74,15,True,2,1,6,2,False,False
75,15,True,12,2,20,3,True,True
76,16,True,21,3,9,5,False,False
77,16,True,1,3,17,2,False,False
78,16,True,19,2,7,3,False,False
79,16,True,15,2,3,1,False,False
80,16,True,18,0,14,3,False,False
81,17,True,13,3,5,6,False,False
82,17,True,11,1,23,4,False,False
83,17,True,12,2,8,4,False,False
84,17,True,2,2,22,3,True,True
85,18,True,17,3,1,4,False,False
86,18,True,9,4,21,2,False,False
87,18,True,4,3,10,2,True,False
88,18,True,3,2,15,1,True,True
89,18,True,7,3,19,0,False,False
90,18,True,20,3,24,0,False,False
91,19,True,5,1,13,2,True,False
92,19,True,23,3,11,2,False,False
93,19,True,6,2,16,3,True,False
94,19,True,22,1,2,2,True,False
95,19,True,20,1,12,3,False,False
96,19,True,18,3,4,1,False,False
97,20,True,24,3,8,2,True,False
98,20,True,10,4,14,3,True,False
99,20,True,22,1,6,2,False,False
100,20,True,9,0,17,3,False,False
101,20,True,13,3,3,2,False,False
102,20,True,21,2,1,3,False,False
103,21,True,15,5,5,3,False,False
104,21,True,11,1,19,0,False,False
105,21,True,23,2,7,0,False,False
106,21,True,12,7,16,6,True,False
107,21,True,4,1,18,2,False,False
108,21,True,8,2,20,3,False,False
109,22,True,17,2,9,3,True,True
110,22,True,14,4,10,1,False,False
111,22,True,6,1,2,7,False,False
112,22,True,1,4,21,3,True,False
113,22,True,12,2,24,4,False,False
114,23,True,16,1,22,2,True,True
115,23,True,13,1,15,6,False,False
116,23,True,7,1,23,2,False,False
117,23,True,19,2,11,1,True,False
118,23,True,10,1,4,2,False,False
119,23,True,14,5,18,0,False,False
120,24,True,3,3,13,4,True,False
121,24,True,8,3,12,4,True,True
122,24,True,1,3,5,4,False,False
123,24,True,24,3,20,2,True,False
124,24,True,2,5,6,3,False,False
125,24,True,21,2,17,0,False,False
126,25,True,22,4,16,5,True,True
127,25,True,11,1,7,3,False,False
128,25,True,1,1,9,4,False,False
129,25,True,5,2,15,3,False,False
