Game Number,Day,Play,Visitor Team,Visitor Score,Home Team,Home Score,Overtime,Shutout
1,1,True,24,2,6,3,False,False
2,1,True,12,3,2,1,False,False
3,1,True,4,3,16,4,False,False
4,1,True,10,1,20,2,False,False
5,1,True,7,2,15,5,False,False
6,1,True,1,3,9,2,True,False
7,1,True,13,0,17,2,False,False
8,1,True,23,4,3,3,False,False
9,2,True,24,4,6,3,False,False
10,2,True,12,2,2,1,True,False
11,2,True,4,2,16,3,False,False
12,2,True,10,0,20,4,False,False
13,2,True,7,3,15,6,False,False
14,2,True,1,3,9,2,False,False
15,2,True,13,4,17,2,False,False
16,2,True,23,3,3,2,True,False
17,3,True,6,5,24,1,False,False
18,3,True,2,2,12,0,False,False
19,3,True,16,1,4,2,False,False
20,3,True,20,2,10,1,False,False
21,3,True,15,1,7,2,False,False
22,3,True,9,2,1,3,False,False
23,3,True,17,1,13,6,False,False
24,3,True,3,4,23,2,False,False
25,4,True,6,2,24,3,True,False
26,4,True,2,5,12,2,False,False
27,4,True,16,4,4,1,False,False
28,4,True,20,2,10,0,False,False
29,4,True,15,3,7,1,False,False
30,4,True,9,2,1,3,False,False
31,4,True,17,5,13,3,False,False
32,4,True,3,3,23,5,False,False
33,5,True,24,4,6,3,True,False
34,5,True,12,1,2,2,False,False
35,5,True,4,2,16,3,True,False
37,5,True,7,4,15,2,False,False
39,5,True,13,1,17,4,False,False
40,5,True,23,2,3,4,False,False
41,6,True,6,5,24,3,False,False
42,6,True,2,5,12,0,False,False
45,6,True,15,7,7,3,False,False
47,6,True,17,5,13,2,False,False
48,6,True,3,5,23,4,True,False
49,7,True,24,1,6,0,False,False
56,7,True,23,6,3,1,False,False
57,8,True,24,1,2,2,False,False
58,8,True,20,4,16,1,False,False
59,8,True,1,1,15,3,False,False
60,8,True,23,0,17,4,False,False
61,9,True,24,0,2,4,False,False
62,9,True,20,3,16,2,True,False
63,9,True,1,2,15,5,False,False
64,9,True,23,2,17,5,False,False
65,10,True,2,4,24,0,False,False
66,10,True,16,6,20,1,False,False
67,10,True,15,1,1,0,False,False
68,10,True,17,3,23,2,False,False
69,11,True,2,4,24,2,False,False
70,11,True,16,2,20,1,False,False
71,11,True,15,4,1,2,False,False
72,11,True,17,2,23,5,False,False
74,12,True,20,2,16,3,True,False
76,12,True,23,5,17,2,False,False
78,13,True,16,6,20,4,False,False
80,13,True,17,3,23,2,False,False
85,15,True,16,2,2,3,True,False
86,15,True,17,5,15,3,False,False
87,16,True,16,4,2,2,False,False
88,16,True,17,3,15,5,False,False
89,17,True,2,3,16,4,True,False
90,17,True,15,3,17,5,False,False
91,18,True,2,3,16,4,True,False
92,18,True,15,3,17,5,False,False
93,19,True,16,3,2,5,False,False
94,19,True,17,3,15,2,False,False
95,20,True,2,5,16,4,True,False
97,21,True,16,4,2,3,True,False
99,22,True,17,2,16,5,False,False
100,23,True,17,1,16,4,False,False
101,24,True,16,0,17,3,False,False
102,25,True,16,3,17,0,False,False
103,26,True,17,2,16,4,False,False
