Number,Name,Abbre,City,Division,Conference,Captain,Assistant #1,Assistant #2,Payroll,TotalPlayersSalaries,ExpensePerDay,CoachID,ScheduleGameInAYear,Morale,PlayOffEliminated,PowerRanking,PlayOffWinRound,StandingPlayoffTitle,Streak,Last10W,Last10L,Last10T,Last10OTW,Last10OTL,Last10SOW,Last10SOL,GP,W,L,T,OTW,OTL,SOW,SOL,Points,GF,GA,HomeGP,HomeW,HomeL,HomeT,HomeOTW,HomeOTL,HomeSOW,HomeSOL,HomeGF,HomeGA,PPAttemp,PPGoal,PKAttemp,PKGoalGA,PKGoalGF,ShotsFor,ShotsAga,ShotsBlock,ShotsPerPeriod #1,ShotsPerPeriod #2,ShotsPerPeriod #3,ShotsPerPeriod #4,GoalsPerPeriod #1,GoalsPerPeriod #2,GoalsPerPeriod #3,GoalsPerPeriod #4,PuckTimeInZone DF,PuckTimeInZone OF,PuckTimeInZone NT,PuckTimeControlinZone DF,PuckTimeControlinZone OF,PuckTimeControlinZone NT,Shutouts,TotalGoal,TotalAssist,TotalPoint,Pim,Hits,Face Off Won Defensif Zone, Face Off Total Defensif Zone,Face Off Won Offensif Zone,Face Off Total Offensif Zone,Face Off Won Neutral Zone,Face Off Total Neutral Zone,EmptyNetGoal
1,Farm Team 1,FT1,,Division 4,Conference 2,0,0,0,0,,0,58,0,50,True,1,0,,L4,4,4,0,0,0,0,0,8,4,4,0,0,0,0,0,8,17,21,4,2,2,0,0,0,0,0,8,9,23,1,31,3,0,206,260,64,74,57,74,1,6,4,6,1,11952,10774,6197,3854,7245,3022,0,17,31,48,69,199,153,287,116,227,50,108,0,
2,Farm Team 2,FT2,,Division 3,Conference 1,0,0,0,0,,0,14,0,50,True,2,0,,OTL1,6,1,0,0,3,0,0,17,11,6,0,0,0,0,0,22,54,36,9,5,4,0,0,0,0,0,23,20,50,8,43,4,0,532,396,124,197,155,167,13,21,17,14,2,23412,25822,13291,7682,18247,6555,4,54,97,151,102,379,266,489,313,590,139,276,0,
3,Farm Team 3,FT3,,Division 6,Conference 2,0,0,0,0,,0,41,0,50,True,3,0,,L1,3,3,0,0,1,0,0,7,3,4,0,0,0,0,0,6,22,26,4,1,3,0,0,0,0,0,10,15,19,5,27,4,1,198,200,58,59,70,61,8,8,6,7,1,11647,9086,5544,3183,6013,2601,0,22,42,64,58,172,115,225,121,238,57,111,0,
4,Farm Team 4,FT4,,Division 1,Conference 1,0,0,0,0,,0,37,0,50,True,4,0,,OTL1,1,3,0,0,1,0,0,5,1,4,0,0,0,0,0,2,10,15,2,1,1,0,0,0,0,0,3,5,21,4,18,2,0,154,150,41,54,61,37,2,2,8,0,0,7623,6954,3947,2423,4704,1883,0,10,19,29,38,123,78,181,67,169,32,76,0,
5,Farm Team 5,FT5,,Division 6,Conference 2,0,0,0,0,,0,38,0,50,True,5,0,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,Farm Team 6,FT6,,Division 3,Conference 1,0,0,0,0,,0,10,0,50,True,6,0,,L1,3,2,0,0,2,0,0,7,3,4,0,0,0,0,0,6,21,18,4,1,3,0,0,0,0,0,9,11,22,3,38,8,1,155,180,58,42,56,46,11,10,7,4,0,10707,9776,5533,3236,6664,2724,0,21,40,61,89,191,114,219,104,195,46,107,0,
7,Farm Team 7,FT7,,Division 5,Conference 2,0,0,0,0,,0,67,0,50,True,7,0,,L1,2,4,0,0,0,0,0,6,2,4,0,0,0,0,0,4,15,24,3,1,2,0,0,0,0,0,6,11,20,5,17,4,0,132,209,58,38,37,57,0,6,4,5,0,8806,7943,4851,2839,5296,2244,0,15,27,42,36,149,118,208,85,184,40,101,0,
8,Farm Team 8,FT8,,Division 2,Conference 1,0,0,0,0,,0,4,0,50,True,8,0,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9,Farm Team 9,FT9,,Division 4,Conference 2,0,0,0,0,,0,28,0,50,True,9,0,,L3,0,3,0,0,1,0,0,4,0,4,0,0,0,0,0,0,8,12,2,0,2,0,0,0,0,0,4,6,13,2,11,0,0,135,117,40,49,50,35,1,4,4,0,0,5551,5903,3069,1689,4020,1558,0,8,16,24,29,98,49,108,65,143,29,56,0,
10,Farm Team 10,F10,,Division 1,Conference 1,0,0,0,0,,0,29,0,50,True,10,0,,L4,0,4,0,0,0,0,0,4,0,4,0,0,0,0,0,0,2,10,2,0,2,0,0,0,0,0,1,4,22,0,5,1,0,156,101,37,38,69,49,0,1,1,0,0,5072,6285,3043,1759,4434,1610,0,2,3,5,17,96,57,121,87,179,20,44,0,
11,Farm Team 11,F11,,Division 5,Conference 2,0,0,0,0,,0,56,0,50,True,11,0,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
12,Farm Team 12,F12,,Division 2,Conference 1,0,0,0,0,,0,65,0,50,True,12,0,,L4,2,4,0,0,0,0,0,6,2,4,0,0,0,0,0,4,8,16,3,0,3,0,0,0,0,0,2,12,15,1,21,4,0,114,168,52,30,48,35,1,3,4,0,1,9023,7993,4753,2628,5211,2375,0,8,16,24,44,167,92,203,68,156,38,86,0,
13,Farm Team 13,F13,,Division 6,Conference 2,0,0,0,0,,0,74,0,50,True,13,0,,L3,2,4,0,0,0,0,0,6,2,4,0,0,0,0,0,4,16,19,3,1,2,0,0,0,0,0,11,11,16,5,18,2,1,155,157,52,55,57,43,0,7,5,4,0,8281,8756,4563,2557,6079,2350,0,16,30,46,48,154,97,190,90,200,34,87,0,
14,Farm Team 14,F14,,Division 1,Conference 1,0,0,0,0,,0,63,0,50,True,14,0,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
15,Farm Team 15,F15,,Division 6,Conference 2,0,0,0,0,,0,32,0,50,True,15,0,,L3,6,4,0,0,0,0,0,15,9,6,0,0,0,0,0,18,53,41,8,5,3,0,0,0,0,0,31,23,51,6,48,6,1,524,390,114,176,174,174,0,22,16,15,0,20104,22042,11854,6722,14977,6129,1,53,96,149,107,350,249,482,249,548,129,236,0,
16,Farm Team 16,F16,,Division 3,Conference 1,0,0,0,0,,0,5,0,50,False,16,0,,W2,7,2,0,0,1,0,0,23,16,7,0,0,0,0,0,32,76,57,12,9,3,0,0,0,0,0,41,32,86,18,76,15,2,719,713,198,200,235,247,37,26,28,17,5,33360,35069,18325,10428,24279,9374,1,76,131,207,182,581,415,807,461,817,208,368,0,
17,Farm Team 17,F17,,Division 4,Conference 2,0,0,0,0,,0,57,0,50,True,17,0,,L2,5,5,0,0,0,0,0,22,13,9,0,0,0,0,0,26,67,64,10,7,3,0,0,0,0,0,32,21,65,4,71,16,2,640,630,194,239,192,209,0,26,21,20,0,32152,30210,16838,9932,20698,8258,3,67,121,188,178,512,386,757,357,718,176,347,0,
