Number,Team,Transaction
1,10,[2022-07-20 6:13:00 PM] - Josh Caldwell was added to Team 10.
2,10,[2022-07-20 6:13:00 PM] - Jean-Guy Landry was picked by Team 10 as the 1 overall pick in the fantasy draft.
3,6,[2022-07-20 6:13:00 PM] - Chris Hahn was added to Team 6.
4,6,[2022-07-20 6:13:00 PM] - Jean-Guy Landry was picked by Team 6 as the 2 overall pick in the fantasy draft.
5,12,[2022-07-20 6:13:00 PM] - Ded Mikhaylenko was added to Team 12.
6,12,[2022-07-20 6:13:00 PM] - Brett Foster was picked by Team 12 as the 3 overall pick in the fantasy draft.
7,17,[2022-07-20 6:13:00 PM] - Billy Klang was added to Team 17.
8,17,[2022-07-20 6:13:00 PM] - Brett Foster was picked by Team 17 as the 4 overall pick in the fantasy draft.
9,5,[2022-07-20 6:13:00 PM] - Lance Farley was added to Team 5.
10,5,[2022-07-20 6:13:00 PM] - Brett Foster was picked by Team 5 as the 5 overall pick in the fantasy draft.
11,3,[2022-07-20 6:13:00 PM] - Dennis Morin was added to Team 3.
12,3,[2022-07-20 6:13:00 PM] - Brett Foster was picked by Team 3 as the 6 overall pick in the fantasy draft.
13,19,[2022-07-20 6:13:00 PM] - Bradley Pearce was added to Team 19.
14,19,[2022-07-20 6:13:00 PM] - Karim Morton was picked by Team 19 as the 7 overall pick in the fantasy draft.
15,9,[2022-07-20 6:13:00 PM] - Angelo Figueroa was added to Team 9.
16,9,[2022-07-20 6:13:00 PM] - Karim Morton was picked by Team 9 as the 8 overall pick in the fantasy draft.
17,22,[2022-07-20 6:13:00 PM] - Jorge Plouffe was added to Team 22.
18,22,[2022-07-20 6:13:00 PM] - Karim Morton was picked by Team 22 as the 9 overall pick in the fantasy draft.
19,18,[2022-07-20 6:13:00 PM] - Larry Donaldson was added to Team 18.
20,18,[2022-07-20 6:13:00 PM] - Karim Morton was picked by Team 18 as the 10 overall pick in the fantasy draft.
21,8,[2022-07-20 6:13:00 PM] - Yannick Tran was added to Team 8.
22,8,[2022-07-20 6:13:00 PM] - Richard Lemay was picked by Team 8 as the 11 overall pick in the fantasy draft.
23,24,[2022-07-20 6:13:00 PM] - Edin Thorsell was added to Team 24.
24,24,[2022-07-20 6:13:00 PM] - Richard Lemay was picked by Team 24 as the 12 overall pick in the fantasy draft.
25,4,[2022-07-20 6:13:00 PM] - Harri Timonen was added to Team 4.
26,4,[2022-07-20 6:13:00 PM] - Richard Lemay was picked by Team 4 as the 13 overall pick in the fantasy draft.
27,20,[2022-07-20 6:13:00 PM] - Knut Wennberg was added to Team 20.
