Game Number,Day,Play,Visitor Team,Visitor Score,Home Team,Home Score,Overtime,Shutout
1,1,True,8,2,18,3,False,False
2,1,True,4,4,2,7,False,False
3,1,True,6,0,10,5,False,False
4,1,True,24,5,12,2,False,False
5,1,True,5,1,17,3,False,False
6,1,True,11,4,23,2,False,False
7,1,True,15,2,3,3,True,False
8,1,True,1,4,13,0,False,False
9,2,True,8,4,18,3,True,False
10,2,True,4,3,2,4,False,False
11,2,True,6,3,10,6,False,False
12,2,True,24,4,12,3,False,False
13,2,True,5,5,17,2,False,False
14,2,True,11,3,23,2,False,False
15,2,True,15,2,3,1,False,False
16,2,True,1,2,13,4,False,False
17,3,True,18,5,8,2,False,False
18,3,True,2,2,4,0,False,False
19,3,True,10,4,6,2,False,False
20,3,True,12,3,24,4,True,False
21,3,True,17,4,5,3,False,False
22,3,True,23,1,11,6,False,False
23,3,True,3,3,15,2,True,False
24,3,True,13,2,1,5,False,False
25,4,True,18,3,8,1,False,False
26,4,True,2,5,4,3,False,False
27,4,True,10,1,6,2,True,False
28,4,True,12,3,24,2,False,False
29,4,True,17,6,5,5,False,False
30,4,True,23,3,11,2,False,False
31,4,True,3,3,15,1,False,False
32,4,True,13,3,1,4,False,False
33,5,True,8,1,18,2,False,False
35,5,True,6,3,10,4,True,False
36,5,True,24,5,12,6,True,False
37,5,True,5,3,17,2,False,False
38,5,True,11,4,23,5,False,False
39,5,True,15,2,3,0,False,False
40,5,True,1,4,13,5,True,False
44,6,True,12,2,24,4,False,False
45,6,True,17,3,5,1,False,False
46,6,True,23,2,11,5,False,False
47,6,True,3,4,15,3,False,False
48,6,True,13,3,1,2,False,False
56,7,True,1,3,13,1,False,False
57,8,True,24,2,18,3,False,False
58,8,True,10,4,2,5,True,False
59,8,True,11,3,17,6,False,False
60,8,True,1,1,3,2,False,False
61,9,True,24,2,18,5,False,False
62,9,True,10,3,2,2,False,False
63,9,True,11,2,17,3,False,False
64,9,True,1,3,3,2,False,False
65,10,True,18,3,24,2,True,False
66,10,True,2,5,10,2,False,False
67,10,True,17,1,11,2,True,False
68,10,True,3,3,1,2,False,False
69,11,True,18,4,24,2,False,False
70,11,True,2,4,10,2,False,False
71,11,True,17,9,11,3,False,False
72,11,True,3,6,1,2,False,False
74,12,True,10,3,2,4,True,False
75,12,True,11,3,17,4,True,False
76,12,True,1,5,3,2,False,False
80,13,True,3,0,1,1,True,False
84,14,True,1,2,3,3,True,False
85,15,True,2,3,18,2,False,False
86,15,True,3,0,17,4,False,False
87,16,True,2,5,18,3,False,False
88,16,True,3,4,17,1,False,False
89,17,True,18,2,2,6,False,False
90,17,True,17,2,3,1,True,False
91,18,True,18,7,2,4,False,False
92,18,True,17,4,3,5,True,False
93,19,True,2,5,18,7,False,False
94,19,True,3,2,17,1,False,False
95,20,True,18,5,2,0,False,False
96,20,True,17,0,3,2,False,False
97,21,True,2,2,18,3,True,False
99,22,True,3,2,18,4,False,False
100,23,True,3,2,18,3,False,False
101,24,True,18,1,3,5,False,False
102,25,True,18,5,3,2,False,False
103,26,True,3,3,18,4,False,False
