GameNumber,Link,VisitorTeam,VisitorTeamAbbre,VisitorTeamScore,VisitorTeamGoal,VisitorTeamGoaler,HomeTeam,HomeTeamAbbre,HomeTeamScore,HomeTeamGoal,HomeTeamGoaler
Pro62,LTLHL-PLF-62.php,Team 10,T10,3,Stephen Padilla(1): Eldar Walle(8): Charles Beland(3),Niyaz Ignatenko (T10): 31 saves from 33 shots - (0.939): W: 5-0-2: 60:00 minutes ,Team 2,TM2,2,Dustin Rodrigue(5): Kai Becker(3),Blake Hansen (TM2): 23 saves from 26 shots - (0.885): L: 3-1-0: 60:00 minutes 
Farm62,LTLHL-PLF-Farm-62.php,Farm Team 20,F20,3,Danil Vershinin(2): Jerome Glover(1): Karl Fitzgerald(1),Mustafa Bolatov (F20): 38 saves from 40 shots - (0.950): W: 6-0-0: 91:51 minutes ,Farm Team 16,F16,2,Miguel Singh(2): Kenneth Kelly(1),Rob Dickson (F16): 43 saves from 46 shots - (0.935): OTL: 4-2-1: 91:51 minutes 
Pro63,LTLHL-PLF-63.php,Team 11,T11,2,Reginald Higgins(9): Craig Leonard(2),Cory Giguere (T11): 24 saves from 27 shots - (0.889): L: 4-3-0: 59:35 minutes ,Team 17,T17,3,Walter Turnbull(5): Arvid Tonnesen(1): Aysen Sadykov(2),Shyngyskhan Goncharova (T17): 15 saves from 17 shots - (0.882): W: 5-2-0: 60:00 minutes 
Farm63,LTLHL-PLF-Farm-63.php,Farm Team 1,FT1,2,Edgar Gaudreau(6): Jussi Pellinen(4),Rolland Charron (FT1): 20 saves from 22 shots - (0.909): 34:09 minutes David Jones (FT1): 13 saves from 16 shots - (0.813): L: 4-2-0: 25:51 minutes ,Farm Team 15,F15,5,Kyle Carter(9:10): Giovanni Larochelle(7): Armand Signer(3): Kent Navarro(1),Randy Daigle (F15): 17 saves from 19 shots - (0.895): W: 6-2-0: 60:00 minutes 
Pro64,LTLHL-PLF-64.php,Team 1,TM1,3,Elmir Alekseeva(3): Guy Kunzli(2): Sylvain Welsh(2),Dwayne Vallee (TM1): 27 saves from 29 shots - (0.931): W: 5-3-1: 60:00 minutes ,Team 3,TM3,2,Robert Maloney(2): Jean Straub(3),Pasquale Ruf (TM3): 42 saves from 45 shots - (0.933): L: 5-3-0: 59:47 minutes 
Farm64,LTLHL-PLF-Farm-64.php,Farm Team 23,F23,2,Ted Leroux(1): Robert Compton(4),Ilnaz Vinogradov (F23): 10 saves from 12 shots - (0.833): 20:58 minutes Amir Brisebois (F23): 18 saves from 21 shots - (0.857): L: 4-4-1: 39:02 minutes ,Farm Team 17,F17,5,Carsten Fricke(6): Jude Turner(4): Herbert Roberts(6:7): Djamel Baudin(1),Ted Dunlop (F17): 21 saves from 23 shots - (0.913): W: 6-2-0: 60:00 minutes 
Pro65,LTLHL-PLF-65.php,Team 18,T18,3,Serge Pollock(2:3): Thomas Fuentes(1),Robt Mcmahon (T18): 17 saves from 19 shots - (0.895): W: 7-0-0: 78:42 minutes ,Team 24,T24,2,Curtis Daniels(2): Dwayne Chase(3),Alan Holmberg (T24): 36 saves from 39 shots - (0.923): OTL: 4-3-2: 78:42 minutes 
Farm65,LTLHL-PLF-Farm-65.php,Farm Team 2,FT2,4,Henrik Parkkonen(1): Ed Simonova(2): Nicolas Houston(2): Mitchell Fitzgerald(5),Antonio Day (FT2): 13 saves from 13 shots - (1.000): W: 7-1-1: 60:00 minutes ,Farm Team 24,F24,0,,Peter Maclean (F24): 23 saves from 24 shots - (0.958): 41:21 minutes Alfred Fields (F24): 8 saves from 11 shots - (0.727): L: 2-6-0: 18:39 minutes 
Pro66,LTLHL-PLF-66.php,Team 2,TM2,5,Jim Morris(3): Dustin Rodrigue(6): Gregory Theriault(2): Rob Copeland(1): Teijo Himanen(2),Blake Hansen (TM2): 29 saves from 31 shots - (0.935): W: 4-1-0: 60:00 minutes ,Team 10,T10,2,Albert Burda(2): Charles Beland(4),Niyaz Ignatenko (T10): 8 saves from 11 shots - (0.727): L: 5-1-2: 13:14 minutes Edmond Gregory (T10): 24 saves from 26 shots - (0.923): 46:46 minutes 
Farm66,LTLHL-PLF-Farm-66.php,Farm Team 16,F16,6,Elias Sanchez(1): Suleyman Valeev(2): Nick Monette(6): Ed Leonard(5:6): Tibor Kasparkova(3),Rob Dickson (F16): 28 saves from 29 shots - (0.966): W: 5-2-1: 60:00 minutes ,Farm Team 20,F20,1,Vaclav Pospisilova(3),Mark Flores (F20): 14 saves from 17 shots - (0.824): 26:28 minutes Mustafa Bolatov (F20): 16 saves from 19 shots - (0.842): L: 6-1-0: 33:32 minutes 
