Game Number,Day,Play,Visitor Team,Visitor Score,Home Team,Home Score,Overtime,Shutout,Link,Empty
1,1,True,24,2,6,3,False,False,LTLHL-PLF-Farm-1.php,
2,1,True,12,3,2,1,False,False,LTLHL-PLF-Farm-2.php,
3,1,True,4,3,16,4,False,False,LTLHL-PLF-Farm-3.php,
4,1,True,10,1,20,2,False,False,LTLHL-PLF-Farm-4.php,
5,1,True,7,2,15,5,False,False,LTLHL-PLF-Farm-5.php,
6,1,True,1,3,9,2,True,False,LTLHL-PLF-Farm-6.php,
7,1,True,13,0,17,2,False,False,LTLHL-PLF-Farm-7.php,
8,1,True,23,4,3,3,False,False,LTLHL-PLF-Farm-8.php,
9,2,True,24,4,6,3,False,False,LTLHL-PLF-Farm-9.php,
10,2,True,12,2,2,1,True,False,LTLHL-PLF-Farm-10.php,
11,2,True,4,2,16,3,False,False,LTLHL-PLF-Farm-11.php,
12,2,True,10,0,20,4,False,False,LTLHL-PLF-Farm-12.php,
13,2,True,7,3,15,6,False,False,LTLHL-PLF-Farm-13.php,
14,2,True,1,3,9,2,False,False,LTLHL-PLF-Farm-14.php,
15,2,True,13,4,17,2,False,False,LTLHL-PLF-Farm-15.php,
16,2,True,23,3,3,2,True,False,LTLHL-PLF-Farm-16.php,
17,3,True,6,5,24,1,False,False,LTLHL-PLF-Farm-17.php,
18,3,True,2,2,12,0,False,False,LTLHL-PLF-Farm-18.php,
19,3,True,16,1,4,2,False,False,LTLHL-PLF-Farm-19.php,
20,3,True,20,2,10,1,False,False,LTLHL-PLF-Farm-20.php,
21,3,True,15,1,7,2,False,False,LTLHL-PLF-Farm-21.php,
22,3,True,9,2,1,3,False,False,LTLHL-PLF-Farm-22.php,
23,3,True,17,1,13,6,False,False,LTLHL-PLF-Farm-23.php,
24,3,True,3,4,23,2,False,False,LTLHL-PLF-Farm-24.php,
25,4,True,6,2,24,3,True,False,LTLHL-PLF-Farm-25.php,
26,4,True,2,5,12,2,False,False,LTLHL-PLF-Farm-26.php,
27,4,True,16,4,4,1,False,False,LTLHL-PLF-Farm-27.php,
28,4,True,20,2,10,0,False,False,LTLHL-PLF-Farm-28.php,
29,4,True,15,3,7,1,False,False,LTLHL-PLF-Farm-29.php,
30,4,True,9,2,1,3,False,False,LTLHL-PLF-Farm-30.php,
31,4,True,17,5,13,3,False,False,LTLHL-PLF-Farm-31.php,
32,4,True,3,3,23,5,False,False,LTLHL-PLF-Farm-32.php,
33,5,True,24,4,6,3,True,False,LTLHL-PLF-Farm-33.php,
34,5,True,12,1,2,2,False,False,LTLHL-PLF-Farm-34.php,
35,5,True,4,2,16,3,True,False,LTLHL-PLF-Farm-35.php,
37,5,True,7,4,15,2,False,False,LTLHL-PLF-Farm-37.php,
39,5,True,13,1,17,4,False,False,LTLHL-PLF-Farm-39.php,
40,5,True,23,2,3,4,False,False,LTLHL-PLF-Farm-40.php,
41,6,True,6,5,24,3,False,False,LTLHL-PLF-Farm-41.php,
42,6,True,2,5,12,0,False,False,LTLHL-PLF-Farm-42.php,
45,6,True,15,7,7,3,False,False,LTLHL-PLF-Farm-45.php,
47,6,True,17,5,13,2,False,False,LTLHL-PLF-Farm-47.php,
48,6,True,3,5,23,4,True,False,LTLHL-PLF-Farm-48.php,
49,7,True,24,1,6,0,False,False,LTLHL-PLF-Farm-49.php,
56,7,True,23,6,3,1,False,False,LTLHL-PLF-Farm-56.php,
57,8,True,24,1,2,2,False,False,LTLHL-PLF-Farm-57.php,
58,8,True,20,4,16,1,False,False,LTLHL-PLF-Farm-58.php,
59,8,True,1,1,15,3,False,False,LTLHL-PLF-Farm-59.php,
60,8,True,23,0,17,4,False,False,LTLHL-PLF-Farm-60.php,
61,9,True,24,0,2,4,False,False,LTLHL-PLF-Farm-61.php,
62,9,True,20,3,16,2,True,False,LTLHL-PLF-Farm-62.php,
63,9,True,1,2,15,5,False,False,LTLHL-PLF-Farm-63.php,
64,9,True,23,2,17,5,False,False,LTLHL-PLF-Farm-64.php,
65,10,True,2,4,24,0,False,False,LTLHL-PLF-Farm-65.php,
66,10,True,16,6,20,1,False,False,LTLHL-PLF-Farm-66.php,
67,10,True,15,1,1,0,False,False,LTLHL-PLF-Farm-67.php,
68,10,True,17,3,23,2,False,False,LTLHL-PLF-Farm-68.php,
69,11,True,2,4,24,2,False,False,LTLHL-PLF-Farm-69.php,
70,11,True,16,2,20,1,False,False,LTLHL-PLF-Farm-70.php,
71,11,True,15,4,1,2,False,False,LTLHL-PLF-Farm-71.php,
72,11,True,17,2,23,5,False,False,LTLHL-PLF-Farm-72.php,
74,12,True,20,2,16,3,True,False,LTLHL-PLF-Farm-74.php,
76,12,True,23,5,17,2,False,False,LTLHL-PLF-Farm-76.php,
78,13,True,16,6,20,4,False,False,LTLHL-PLF-Farm-78.php,
80,13,True,17,3,23,2,False,False,LTLHL-PLF-Farm-80.php,
85,15,True,16,2,2,3,True,False,LTLHL-PLF-Farm-85.php,
86,15,True,17,5,15,3,False,False,LTLHL-PLF-Farm-86.php,
87,16,True,16,4,2,2,False,False,LTLHL-PLF-Farm-87.php,
88,16,True,17,3,15,5,False,False,LTLHL-PLF-Farm-88.php,
89,17,True,2,3,16,4,True,False,LTLHL-PLF-Farm-89.php,
90,17,True,15,3,17,5,False,False,LTLHL-PLF-Farm-90.php,
91,18,True,2,3,16,4,True,False,LTLHL-PLF-Farm-91.php,
92,18,True,15,3,17,5,False,False,LTLHL-PLF-Farm-92.php,
93,19,True,16,3,2,5,False,False,LTLHL-PLF-Farm-93.php,
94,19,True,17,3,15,2,False,False,LTLHL-PLF-Farm-94.php,
95,20,True,2,5,16,4,True,False,LTLHL-PLF-Farm-95.php,
97,21,True,16,4,2,3,True,False,LTLHL-PLF-Farm-97.php,
99,22,True,17,2,16,5,False,False,LTLHL-PLF-Farm-99.php,
100,23,True,17,1,16,4,False,False,LTLHL-PLF-Farm-100.php,
101,24,True,16,0,17,3,False,False,LTLHL-PLF-Farm-101.php,
102,25,True,16,3,17,0,False,False,LTLHL-PLF-Farm-102.php,
103,26,True,17,2,16,4,False,False,LTLHL-PLF-Farm-103.php,
