Game Number,Day,Play,Visitor Team,Visitor Score,Home Team,Home Score,Overtime,Shutout,Link,Empty
1,1,True,8,2,18,3,False,False,LTLHL-PLF-1.php,
2,1,True,4,4,2,7,False,False,LTLHL-PLF-2.php,
3,1,True,6,0,10,5,False,False,LTLHL-PLF-3.php,
4,1,True,24,5,12,2,False,False,LTLHL-PLF-4.php,
5,1,True,5,1,17,3,False,False,LTLHL-PLF-5.php,
6,1,True,11,4,23,2,False,False,LTLHL-PLF-6.php,
7,1,True,15,2,3,3,True,False,LTLHL-PLF-7.php,
8,1,True,1,4,13,0,False,False,LTLHL-PLF-8.php,
9,2,True,8,4,18,3,True,False,LTLHL-PLF-9.php,
10,2,True,4,3,2,4,False,False,LTLHL-PLF-10.php,
11,2,True,6,3,10,6,False,False,LTLHL-PLF-11.php,
12,2,True,24,4,12,3,False,False,LTLHL-PLF-12.php,
13,2,True,5,5,17,2,False,False,LTLHL-PLF-13.php,
14,2,True,11,3,23,2,False,False,LTLHL-PLF-14.php,
15,2,True,15,2,3,1,False,False,LTLHL-PLF-15.php,
16,2,True,1,2,13,4,False,False,LTLHL-PLF-16.php,
17,3,True,18,5,8,2,False,False,LTLHL-PLF-17.php,
18,3,True,2,2,4,0,False,False,LTLHL-PLF-18.php,
19,3,True,10,4,6,2,False,False,LTLHL-PLF-19.php,
20,3,True,12,3,24,4,True,False,LTLHL-PLF-20.php,
21,3,True,17,4,5,3,False,False,LTLHL-PLF-21.php,
22,3,True,23,1,11,6,False,False,LTLHL-PLF-22.php,
23,3,True,3,3,15,2,True,False,LTLHL-PLF-23.php,
24,3,True,13,2,1,5,False,False,LTLHL-PLF-24.php,
25,4,True,18,3,8,1,False,False,LTLHL-PLF-25.php,
26,4,True,2,5,4,3,False,False,LTLHL-PLF-26.php,
27,4,True,10,1,6,2,True,False,LTLHL-PLF-27.php,
28,4,True,12,3,24,2,False,False,LTLHL-PLF-28.php,
29,4,True,17,6,5,5,False,False,LTLHL-PLF-29.php,
30,4,True,23,3,11,2,False,False,LTLHL-PLF-30.php,
31,4,True,3,3,15,1,False,False,LTLHL-PLF-31.php,
32,4,True,13,3,1,4,False,False,LTLHL-PLF-32.php,
33,5,True,8,1,18,2,False,False,LTLHL-PLF-33.php,
35,5,True,6,3,10,4,True,False,LTLHL-PLF-35.php,
36,5,True,24,5,12,6,True,False,LTLHL-PLF-36.php,
37,5,True,5,3,17,2,False,False,LTLHL-PLF-37.php,
38,5,True,11,4,23,5,False,False,LTLHL-PLF-38.php,
39,5,True,15,2,3,0,False,False,LTLHL-PLF-39.php,
40,5,True,1,4,13,5,True,False,LTLHL-PLF-40.php,
44,6,True,12,2,24,4,False,False,LTLHL-PLF-44.php,
45,6,True,17,3,5,1,False,False,LTLHL-PLF-45.php,
46,6,True,23,2,11,5,False,False,LTLHL-PLF-46.php,
47,6,True,3,4,15,3,False,False,LTLHL-PLF-47.php,
48,6,True,13,3,1,2,False,False,LTLHL-PLF-48.php,
56,7,True,1,3,13,1,False,False,LTLHL-PLF-56.php,
57,8,True,24,2,18,3,False,False,LTLHL-PLF-57.php,
58,8,True,10,4,2,5,True,False,LTLHL-PLF-58.php,
59,8,True,11,3,17,6,False,False,LTLHL-PLF-59.php,
60,8,True,1,1,3,2,False,False,LTLHL-PLF-60.php,
61,9,True,24,2,18,5,False,False,LTLHL-PLF-61.php,
62,9,True,10,3,2,2,False,False,LTLHL-PLF-62.php,
63,9,True,11,2,17,3,False,False,LTLHL-PLF-63.php,
64,9,True,1,3,3,2,False,False,LTLHL-PLF-64.php,
65,10,True,18,3,24,2,True,False,LTLHL-PLF-65.php,
66,10,True,2,5,10,2,False,False,LTLHL-PLF-66.php,
67,10,True,17,1,11,2,True,False,LTLHL-PLF-67.php,
68,10,True,3,3,1,2,False,False,LTLHL-PLF-68.php,
69,11,True,18,4,24,2,False,False,LTLHL-PLF-69.php,
70,11,True,2,4,10,2,False,False,LTLHL-PLF-70.php,
71,11,True,17,9,11,3,False,False,LTLHL-PLF-71.php,
72,11,True,3,6,1,2,False,False,LTLHL-PLF-72.php,
74,12,True,10,3,2,4,True,False,LTLHL-PLF-74.php,
75,12,True,11,3,17,4,True,False,LTLHL-PLF-75.php,
76,12,True,1,5,3,2,False,False,LTLHL-PLF-76.php,
80,13,True,3,0,1,1,True,False,LTLHL-PLF-80.php,
84,14,True,1,2,3,3,True,False,LTLHL-PLF-84.php,
85,15,True,2,3,18,2,False,False,LTLHL-PLF-85.php,
86,15,True,3,0,17,4,False,False,LTLHL-PLF-86.php,
87,16,True,2,5,18,3,False,False,LTLHL-PLF-87.php,
88,16,True,3,4,17,1,False,False,LTLHL-PLF-88.php,
89,17,True,18,2,2,6,False,False,LTLHL-PLF-89.php,
90,17,True,17,2,3,1,True,False,LTLHL-PLF-90.php,
91,18,True,18,7,2,4,False,False,LTLHL-PLF-91.php,
92,18,True,17,4,3,5,True,False,LTLHL-PLF-92.php,
93,19,True,2,5,18,7,False,False,LTLHL-PLF-93.php,
94,19,True,3,2,17,1,False,False,LTLHL-PLF-94.php,
95,20,True,18,5,2,0,False,False,LTLHL-PLF-95.php,
96,20,True,17,0,3,2,False,False,LTLHL-PLF-96.php,
97,21,True,2,2,18,3,True,False,LTLHL-PLF-97.php,
99,22,True,3,2,18,4,False,False,LTLHL-PLF-99.php,
100,23,True,3,2,18,3,False,False,LTLHL-PLF-100.php,
101,24,True,18,1,3,5,False,False,LTLHL-PLF-101.php,
102,25,True,18,5,3,2,False,False,LTLHL-PLF-102.php,
103,26,True,3,3,18,4,False,False,LTLHL-PLF-103.php,
