Number,Name,Abbre,City,GM Name,Messenger,Email,Arena,Division,Conference,Captain,Assistant #1,Assistant #2,ArenaCapacityL1,ArenaCapacityL2,ArenaCapacityL3,ArenaCapacityL4,ArenaCapacityL5,TicketPriceL1,TicketPriceL2,TicketPriceL3,TicketPriceL4,TicketPriceL5,AttendanceL1,AttendanceL2,AttendanceL3,AttendanceL4,AttendanceL5,SpecialSalaryCapY1,SpecialSalaryCapY2,SpecialSalaryCapY3,SpecialSalaryCapY4,SpecialSalaryCapY5,SpecialSalaryCapY6,SpecialSalaryCapY7,SpecialSalaryCapY8,SpecialSalaryCapY9,SpecialSalaryCapY10,ScheduleGameInAYear,SalaryCapToDate,SalaryCapPerDay,TotalPlayersSalaries,TotalPlayersSalariesAverage,Expenses Per Days,TotalAttendance,TotalIncome,ExpenseThisSeason,SeasonTicketPCT,TeamPopularity,Finance,LuxuryTaxeTotal,CoachID,Empty4,Morale,PowerRanking,LinesLoad,LastLoadFileDate,StandingPlayoffTitle,DidNotMakePlayoff,PlayOffWinRound,PlayOffEliminated,UniqueID,EstimatedRevenue,EstimatedSeasonExpense,TotalSalaryCap,Empty5,Streak,Last10W,Last10L,Last10T,Last10OTW,Last10OTL,Last10SOW,Last10SOL,GP,W,L,T,OTW,OTL,SOW,SOL,Points,GF,GA,HomeGP,HomeW,HomeL,HomeT,HomeOTW,HomeOTL,HomeSOW,HomeSOL,HomeGF,HomeGA,PPAttemp,PPGoal,PKAttemp,PKGoalGA,PKGoalGF,ShotsFor,ShotsAga,ShotsBlock,ShotsPerPeriod #1,ShotsPerPeriod #2,ShotsPerPeriod #3,ShotsPerPeriod #4,GoalsPerPeriod #1,GoalsPerPeriod #2,GoalsPerPeriod #3,GoalsPerPeriod #4,PuckTimeInZone DF,PuckTimeInZone OF,PuckTimeInZone NT,PuckTimeControlinZone DF,PuckTimeControlinZone OF,PuckTimeControlinZone NT,Shutouts,TotalGoal,TotalAssist,TotalPoint,Pim,Hits,Face Off Won Defensif Zone, Face Off Total Defensif Zone,Face Off Won Offensif Zone,Face Off Total Offensif Zone,Face Off Won Neutral Zone,Face Off Total Neutral Zone,EmptyNetGoal
1,Team 1,TM1,,,,,,Division 4,Conference 2,0,0,0,6000,5000,2000,4000,1000,100,60,35,25,200,36000,30000,11852,24000,5982,0,0,0,0,0,0,0,0,0,0,0,0,0,62167274,62167274,0,107834,9514025,0,40,100,128331760,0,21,,50,1,0,,,False,0,True,1,0,0,0,,OTL1,4,4,0,0,2,0,0,14,7,7,0,0,0,0,0,14,40,36,6,3,3,0,0,0,0,0,16,17,56,10,30,4,0,415,372,95,106,149,145,15,12,15,12,1,21782,19671,10563,6299,13759,5164,2,40,75,115,62,290,237,437,281,499,100,214,0
2,Team 2,TM2,,,,,,Division 3,Conference 1,0,0,0,6000,5000,2000,4000,1000,100,60,35,25,200,48000,40000,15937,32000,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,55455264,55455264,0,143937,12697244,0,40,100,170008442,0,55,,50,2,0,,,False,0,True,2,0,0,0,,OTL1,6,3,0,0,1,0,0,16,11,5,0,0,0,0,0,22,63,53,8,5,3,0,0,0,0,0,32,31,47,13,59,8,0,505,458,112,164,180,154,7,18,22,21,2,23279,22015,12927,7574,14494,6409,1,63,111,174,137,396,304,539,294,537,157,274,0
3,Team 3,TM3,,,,,,Division 4,Conference 2,0,0,0,6000,5000,2000,4000,1000,100,60,35,25,200,72000,59820,24000,48000,12000,0,0,0,0,0,0,0,0,0,0,0,0,0,58592730,58592730,0,215820,19036500,0,40,100,162966717,0,59,,50,3,0,,,False,0,True,3,0,0,0,,L2,5,4,0,0,1,0,0,24,13,11,0,0,0,0,0,26,60,57,12,6,6,0,0,0,0,0,28,29,85,13,77,6,1,642,679,190,242,200,185,15,21,17,18,4,32061,38294,19039,10746,26428,9984,1,60,111,171,170,553,376,812,397,845,184,364,0
4,Team 4,TM4,,,,,,Division 1,Conference 1,0,0,0,6000,5000,2000,4000,1000,100,60,35,25,200,12000,10000,3936,8000,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,57790906,57790906,0,35936,3172200,0,40,100,122020365,0,23,,50,4,0,,,False,0,True,4,0,0,0,,L4,0,4,0,0,0,0,0,4,0,4,0,0,0,0,0,0,10,18,2,0,2,0,0,0,0,0,3,7,14,2,10,5,0,103,111,28,37,36,30,0,5,3,2,0,5236,6040,3124,1822,4181,1560,0,10,17,27,29,92,51,115,59,137,20,69,0
5,Team 5,TM5,,,,,,Division 6,Conference 2,0,0,0,6000,5000,2000,4000,1000,100,60,35,25,200,17675,14984,5935,11855,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,58386937,58386937,0,53449,4713300,0,40,100,135950040,0,13,,50,5,0,,,False,0,True,5,0,0,0,,L1,2,4,0,0,0,0,0,6,2,4,0,0,0,0,0,4,18,20,3,0,3,0,0,0,0,0,9,13,39,12,18,4,0,185,179,49,80,51,54,0,10,4,4,0,8185,8776,4639,2634,6089,2371,0,18,34,52,42,149,83,203,93,216,40,101,0
6,Team 6,TM6,,,,,,Division 2,Conference 1,0,0,0,6000,5000,2000,4000,1000,100,60,35,25,200,12000,9866,3930,8000,1968,0,0,0,0,0,0,0,0,0,0,0,0,0,58775662,58775662,0,35764,3153888,0,40,100,128069203,0,24,,50,6,0,,,False,0,True,6,0,0,0,,OTL1,1,3,0,0,1,0,0,5,1,4,0,0,0,0,0,2,10,20,2,1,1,0,0,0,0,0,4,5,11,0,25,8,0,109,201,53,35,44,28,2,4,5,0,1,7569,6925,4025,2425,4644,1898,0,10,20,30,55,123,105,224,65,145,31,70,0
7,Team 7,TM7,,,,,,Division 5,Conference 2,0,0,0,6000,5000,2000,4000,1000,100,60,35,25,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56560667,56560667,0,0,0,0,40,100,135187302,0,2,,50,7,0,,,True,0,True,7,0,0,0,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Team 8,TM8,,,,,,Division 2,Conference 1,0,0,0,6000,5000,2000,4000,1000,100,60,35,25,200,12000,9914,4000,7990,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,51385319,51385319,0,35904,3168238,0,40,100,141455556,0,52,,50,8,0,,,False,0,True,8,0,0,0,,L3,1,4,0,0,0,0,0,5,1,4,0,0,0,0,0,2,10,16,2,0,2,0,0,0,0,0,3,8,15,1,19,2,0,140,170,59,40,53,41,6,4,4,1,1,7397,6919,3920,2214,4737,1948,0,10,19,29,44,132,86,194,78,173,33,70,0
9,Team 9,TM9,,,,,,Division 6,Conference 2,0,0,0,6000,5000,2000,4000,1000,100,60,35,25,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61573532,61573532,0,0,0,0,40,100,112234649,0,18,,50,9,0,,,True,0,True,9,0,0,0,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Team 10,T10,,,,,,Division 1,Conference 1,0,0,0,6000,5000,2000,4000,1000,100,60,35,25,200,30000,25000,9952,20000,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,57569292,57569292,0,89952,7935400,0,40,100,160562745,0,54,,50,10,0,,,False,0,True,10,0,0,0,,OTL1,5,2,0,0,3,0,0,10,5,5,0,0,0,0,0,10,34,30,5,3,2,0,0,0,0,0,19,15,43,10,32,4,2,338,276,72,95,116,120,7,12,13,8,1,14228,14688,8111,4725,9856,4138,1,34,63,97,74,223,165,332,201,395,80,154,0
