Game Number,Day,Play,Visitor Team,Visitor Score,Home Team,Home Score,Overtime,Shutout
1,1,True,5,3,13,4,False,False
2,1,True,2,3,16,0,False,False
3,1,True,9,3,19,6,False,False
4,1,True,18,2,14,1,False,False
5,1,True,4,2,10,3,False,False
6,1,True,7,4,23,1,False,False
7,2,True,20,2,8,1,False,False
8,2,True,11,2,15,4,False,False
9,2,True,3,6,17,3,False,False
10,2,True,1,4,21,1,False,False
11,2,True,6,3,12,2,False,False
12,2,True,22,2,24,3,True,False
13,3,True,16,0,2,2,False,False
14,3,True,5,4,9,6,False,False
15,3,True,23,3,7,2,False,False
16,3,True,10,1,4,4,False,False
17,3,True,14,3,18,2,False,False
18,3,True,1,3,3,2,True,True
19,4,True,15,3,11,2,False,False
20,4,True,8,3,6,4,True,False
21,4,True,24,5,22,1,False,False
22,4,True,12,5,20,2,False,False
23,4,True,13,2,5,3,True,False
24,4,True,21,2,17,3,False,False
25,5,True,17,1,1,2,False,False
26,5,True,13,1,19,2,False,False
27,5,True,18,4,4,2,False,False
28,5,True,7,5,9,6,True,True
29,6,True,22,1,2,3,False,False
30,6,True,14,3,10,2,False,False
31,6,True,24,1,16,3,False,False
32,6,True,6,3,20,4,False,False
33,6,True,21,2,3,3,True,False
34,6,True,23,5,15,2,False,False
35,7,True,12,3,8,4,True,True
36,7,True,7,1,11,3,False,False
37,7,True,4,2,18,7,False,False
38,7,True,19,2,5,1,True,False
39,7,True,20,0,6,3,False,False
40,7,True,9,4,13,3,False,False
41,8,True,16,1,24,5,False,False
42,8,True,17,2,21,3,False,False
43,8,True,3,1,1,4,False,False
44,8,True,10,1,14,3,False,False
45,9,True,2,4,22,2,False,False
46,9,True,11,2,23,1,False,False
47,9,True,8,0,12,7,False,False
48,9,True,15,1,7,3,False,False
49,9,True,5,2,19,3,True,True
50,9,True,14,3,4,4,True,True
51,10,True,3,4,21,3,True,True
52,10,True,10,2,18,1,False,False
53,10,True,19,3,13,2,False,False
54,10,True,8,2,20,0,False,False
55,11,True,15,4,23,3,False,False
56,11,True,16,4,22,3,False,False
57,11,True,2,3,24,1,False,False
58,11,True,21,1,1,3,False,False
59,11,True,12,2,6,1,True,False
60,11,True,13,2,9,4,False,False
61,12,True,23,3,11,1,False,False
62,12,True,1,5,17,2,False,False
63,12,True,7,1,3,4,False,False
64,12,True,9,3,5,1,False,False
65,13,True,24,2,2,4,False,False
66,13,True,7,3,15,4,False,False
67,13,True,6,3,8,4,True,True
68,13,True,4,5,14,1,False,False
69,14,True,18,2,10,3,False,False
70,14,True,20,4,12,2,False,False
71,14,True,22,2,16,0,False,False
72,14,True,15,0,11,2,False,False
73,14,True,3,3,17,2,True,True
74,14,True,13,9,19,2,False,False
75,15,True,11,6,7,5,False,False
76,15,True,9,2,5,5,False,False
77,15,True,4,4,14,2,False,False
78,15,True,1,3,23,2,True,False
79,15,True,3,0,21,2,False,False
80,16,True,22,0,2,1,False,False
81,16,True,12,3,8,2,False,False
82,16,True,20,0,6,3,False,False
83,16,True,18,3,10,5,False,False
84,16,True,24,1,16,4,False,False
85,16,True,19,4,13,3,False,False
86,17,True,14,5,4,3,False,False
87,17,True,21,3,1,1,False,False
88,17,True,19,2,9,4,False,False
89,17,True,23,3,15,2,True,False
90,17,True,16,0,24,4,False,False
91,17,True,2,4,22,2,False,False
92,18,True,6,1,12,4,False,False
93,18,True,10,4,18,3,False,False
94,18,True,8,3,20,1,False,False
95,18,True,17,0,3,3,False,False
96,19,True,15,2,7,1,True,True
97,19,True,13,2,5,1,False,False
98,19,True,23,5,11,2,False,False
99,19,True,21,5,17,2,False,False
100,19,True,19,1,9,2,False,False
101,19,True,3,1,1,2,False,False
102,20,True,14,2,10,3,False,False
103,20,True,2,5,16,3,False,False
104,20,True,22,2,24,4,False,False
105,20,True,6,4,8,6,False,False
106,20,True,20,2,12,4,False,False
107,20,True,18,2,4,3,False,False
108,21,True,1,0,21,3,False,False
109,21,True,5,2,13,3,False,False
110,21,True,23,4,7,5,True,False
111,21,True,11,1,15,3,False,False
112,22,True,9,2,19,3,False,False
113,22,True,6,1,20,2,True,True
114,22,True,16,1,2,3,False,False
115,22,True,10,0,14,2,False,False
116,23,True,4,2,18,3,True,True
117,23,True,24,5,22,1,False,False
118,23,True,21,2,3,7,False,False
119,23,True,15,2,23,4,False,False
120,23,True,12,2,6,6,False,False
121,24,True,1,2,17,1,True,False
122,24,True,7,4,11,3,True,False
123,24,True,19,5,5,3,False,False
124,24,True,20,1,8,3,False,False
125,25,True,10,2,4,3,False,False
126,25,True,8,0,12,4,False,False
127,25,True,9,0,13,3,False,False
128,25,True,24,3,2,8,False,False
129,26,True,18,2,14,3,False,False
130,26,True,22,1,16,5,False,False
131,26,True,20,1,6,2,False,False
132,26,True,7,2,15,3,False,False
133,27,True,17,2,1,3,False,False
134,27,True,13,1,21,4,False,False
135,27,True,11,4,3,3,False,False
136,27,True,5,4,9,2,False,False
137,27,True,23,4,19,1,False,False
138,28,True,4,6,10,3,False,False
139,28,True,14,2,18,5,False,False
140,28,True,16,1,22,2,False,False
141,28,True,2,2,24,6,False,False
142,28,True,11,2,7,3,False,False
143,29,True,12,7,20,3,False,False
144,29,True,7,1,23,4,False,False
145,29,True,3,2,17,1,True,False
146,29,True,9,0,5,5,False,False
147,29,True,6,3,8,1,False,False
148,30,True,14,3,10,1,False,False
