Number,Name,Abbre,City,GM Name,Messenger,Email,Arena,Division,Conference,Captain,Assistant #1,Assistant #2,ArenaCapacity #1,ArenaCapacity #2,ArenaCapacity #3,ArenaCapacity #4,ArenaCapacity #5,TicketPrice #1,TicketPrice #2,TicketPrice #3,TicketPrice #4,TicketPrice #5,Attendance #1,Attendance #2,Attendance #3,Attendance #4,Attendance #5,SeasonTicketPCT,Finance,Payroll,TotalPlayersSalaries,ExpensePerDay,TotalAttendance,TotalIncome,CoachID,ScheduleGameInAYear,Morale,PlayOffEliminated,PowerRanking,LinesLoad,PlayOffWinRound,LuxuryTaxeTotal,StandingPlayoffTitle,Streak,Last10W,Last10L,Last10T,Last10OTW,Last10OTL,Last10SOW,Last10SOL,GP,W,L,T,OTW,OTL,SOW,SOL,Points,GF,GA,HomeGP,HomeW,HomeL,HomeT,HomeOTW,HomeOTL,HomeSOW,HomeSOL,HomeGF,HomeGA,PPAttemp,PPGoal,PKAttemp,PKGoalGA,PKGoalGF,ShotsFor,ShotsAga,ShotsBlock,ShotsPerPeriod #1,ShotsPerPeriod #2,ShotsPerPeriod #3,ShotsPerPeriod #4,GoalsPerPeriod #1,GoalsPerPeriod #2,GoalsPerPeriod #3,GoalsPerPeriod #4,PuckTimeInZone DF,PuckTimeInZone OF,PuckTimeInZone NT,PuckTimeControlinZone DF,PuckTimeControlinZone OF,PuckTimeControlinZone NT,Shutouts,TotalGoal,TotalAssist,TotalPoint,Pim,Hits,Face Off Won Defensif Zone, Face Off Total Defensif Zone,Face Off Won Offensif Zone,Face Off Total Offensif Zone,Face Off Won Neutral Zone,Face Off Total Neutral Zone,EmptyNetGoal
1,Team 1,TM1,,,,,,Division 4,Conference 2,0,0,0,6000,5000,2000,4000,1000,100,60,35,25,200,227000,191868,74778,151534,37615,40,118392735,62167203,,328927,682795,60175828,21,80,50,False,14,0,0,0,X,L2,4,4,0,0,2,0,0,80,30,32,0,4,6,5,3,87,212,204,40,16,16,0,1,2,3,2,104,101,294,53,186,33,2,2119,2006,625,702,673,703,72,66,68,69,13,115882,114134,61121,35794,79385,30373,3,212,368,580,471,1588,1341,2431,1422,2555,607,1175,3,
2,Team 2,TM2,,,,,,Division 3,Conference 1,0,0,0,6000,5000,2000,4000,1000,100,60,35,25,200,229246,189777,76218,151982,37473,40,156354948,55455246,,293414,684696,60341248,55,80,50,False,1,0,0,0,Y,SOL1,6,1,0,0,0,0,3,80,46,19,0,6,1,1,7,114,247,186,40,24,10,0,1,1,1,3,118,86,265,52,252,40,1,2550,1982,604,847,798,875,55,88,71,81,13,111960,116243,62748,35757,79467,31818,7,247,443,690,566,1778,1332,2447,1545,2877,689,1229,0,
3,Team 3,TM3,,,,,,Division 4,Conference 2,0,0,0,6000,5000,2000,4000,1000,100,60,35,25,200,227992,187470,75957,150883,37599,40,143509073,58592646,,310014,679901,59997212,59,80,50,False,13,0,0,0,X,W4,7,3,0,0,0,0,0,80,35,27,0,4,5,4,5,96,206,190,40,19,14,0,2,1,1,3,104,90,293,56,218,33,5,2070,1711,522,689,672,684,60,68,68,62,12,101812,128075,62015,33985,90332,32837,8,206,359,565,500,1733,1102,2177,1384,2680,609,1175,2,
4,Team 4,TM4,,,,,,Division 1,Conference 1,0,0,0,6000,5000,2000,4000,1000,100,60,35,25,200,227021,187138,75596,152189,37827,40,118639121,57790908,,305772,679771,59932954,23,80,50,False,15,0,0,0,X,W1,4,6,0,0,0,0,0,80,34,32,0,3,3,6,2,91,192,189,40,17,14,0,3,1,4,1,99,92,289,52,256,47,1,1833,1996,565,624,584,594,59,74,57,52,15,107349,122370,61179,34609,85594,31092,3,192,342,534,600,1823,1086,2445,1144,2411,502,1120,0,
5,Team 5,TM5,,,,,,Division 6,Conference 2,0,0,0,6000,5000,2000,4000,1000,100,60,35,25,200,226567,191605,74671,152657,37410,40,131236740,58387014,,308926,682910,60081135,13,80,50,False,3,0,0,0,X,W2,6,3,0,0,0,0,1,80,27,39,0,3,4,3,4,74,194,219,40,14,18,0,3,2,3,0,100,102,257,58,301,60,2,2033,2262,652,670,597,735,60,63,62,63,10,117953,111773,61466,35451,76606,30134,6,194,353,547,644,1887,1256,2634,1253,2527,621,1186,1,
6,Team 6,TM6,,,,,,Division 2,Conference 1,0,0,0,6000,5000,2000,4000,1000,100,60,35,25,200,227565,188975,75500,150382,37672,40,124492240,58775598,,310982,680094,60039312,24,80,50,False,9,0,0,0,X,W4,9,0,0,0,1,0,0,80,31,28,0,6,7,3,5,92,189,194,40,16,12,0,4,2,3,3,100,85,286,52,295,50,5,2114,1949,556,665,679,729,72,62,63,55,15,107241,124705,60486,34580,88136,30749,6,189,339,528,670,2028,1158,2456,1250,2635,559,1136,2,
7,Team 7,TM7,,,,,,Division 5,Conference 2,0,0,0,6000,5000,2000,4000,1000,100,60,35,25,200,226821,188382,74961,151200,38119,40,134868771,56560707,,299263,679483,60015566,2,80,50,False,11,0,0,0,E,W1,7,3,0,0,0,0,0,80,30,36,0,5,3,2,4,81,234,247,40,16,15,0,3,2,2,2,122,116,281,53,328,73,5,2367,2347,662,763,752,812,65,78,69,80,13,120789,109305,60659,35813,74586,29350,3,234,399,633,759,1900,1347,2751,1402,2785,655,1255,0,
8,Team 8,TM8,,,,,,Division 2,Conference 1,0,0,0,6000,5000,2000,4000,1000,100,60,35,25,200,226042,190179,75776,150995,37827,40,138287318,51385320,,271880,680819,60009220,52,80,50,False,7,0,0,0,X,OTL1,5,3,0,0,1,0,1,80,32,29,0,3,9,5,2,91,199,200,40,17,14,0,2,4,2,1,103,97,303,33,258,45,5,2010,2220,645,656,643,681,54,55,64,72,9,117852,112156,61419,36293,77094,30304,6,199,352,551,600,1788,1300,2660,1218,2475,583,1142,3,
9,Team 9,TM9,,,,,,Division 6,Conference 2,0,0,0,6000,5000,2000,4000,1000,100,60,35,25,200,228868,192122,75628,149664,37770,40,112025911,61573554,,325786,684052,60445877,18,80,50,False,16,0,0,0,E,W2,4,6,0,0,0,0,0,80,27,42,0,2,6,2,1,69,176,229,40,14,17,0,1,5,2,1,91,105,295,38,264,48,2,1898,2183,628,612,623,656,21,62,61,49,8,116845,113258,59446,35004,78912,29098,7,176,319,495,584,1709,1357,2655,1274,2435,606,1169,2,
10,Team 10,T10,,,,,,Division 1,Conference 1,0,0,0,6000,5000,2000,4000,1000,100,60,35,25,200,225999,187117,75394,154086,37829,40,152416639,57569211,,304599,680425,59854572,54,80,50,False,5,0,0,0,X,W1,6,4,0,0,0,0,0,80,42,24,0,6,3,3,2,107,263,206,40,19,14,0,4,2,1,0,126,110,286,56,193,38,0,2446,1899,559,783,805,834,48,94,81,79,15,108676,119430,62400,34833,82606,32282,4,263,487,750,504,1749,1089,2371,1377,2855,633,1256,0,
