GameNumber,Link,VisitorTeam,VisitorTeamAbbre,VisitorTeamScore,VisitorTeamGoal,VisitorTeamGoaler,HomeTeam,HomeTeamAbbre,HomeTeamScore,HomeTeamGoal,HomeTeamGoaler
Pro948,LTLHL-948.php,Team 5,TM5,3,Sammy Quinn(12:13): Jean-Philippe Nash(33),Ignacio Kirk (TM5): 21 saves from 23 shots - (0.913): W: 30-34-7: 60:00 minutes ,Team 1,TM1,2,Andrzej Berggren(9): Pontus Frid(7),Dwayne Vallee (TM1): 5 saves from 8 shots - (0.625): L: 37-30-9: 31:47 minutes Carl Turnbull (TM1): 10 saves from 10 shots - (1.000): 27:15 minutes 
Pro949,LTLHL-949.php,Team 22,T22,0,,Oscar Jacobs (T22): 24 saves from 25 shots - (0.960): L: 24-41-8: 59:04 minutes ,Team 16,T16,2,Anthony Duke(20:21),Valerka Usova (T16): 12 saves from 12 shots - (1.000): W: 32-44-4: 60:00 minutes 
Pro950,LTLHL-950.php,Team 8,TM8,4,Jiri Filip(12:13): Muhammad Rice(29): Mitchell Hassan(3),Aaron Durocher (TM8): 20 saves from 22 shots - (0.909): OTL: 2-1-2: 36:14 minutes Andreyka Malysheva (TM8): 13 saves from 16 shots - (0.813): 24:23 minutes ,Team 10,T10,5,Platon Egorova(21): Or Thomson(16): Cliff Nixon(27): Rafael Sharipova(6): Rodney Watt(36),Niyaz Ignatenko (T10): 14 saves from 18 shots - (0.778): W: 50-21-5: 61:19 minutes 
Farm954,LTLHL-Farm-954.php,Farm Team 21,F21,3,Andrzej Fagerberg(18): Saveliy Subbotin(15): Oscar Carroll(4),Tim Raymond (F21): 16 saves from 17 shots - (0.941): W: 33-37-7: 60:00 minutes ,Farm Team 19,F19,1,Luc St Pierre(9),Urad Balint (F19): 6 saves from 6 shots - (1.000): 17:07 minutes Antonio Hynes (F19): 25 saves from 28 shots - (0.893): L: 26-46-6: 42:53 minutes 
Farm955,LTLHL-Farm-955.php,Farm Team 24,F24,4,Pierre Steele(7): Art Yu(13): Dick Hallqvist(35): Franklin Byers(9),Peter Maclean (F24): 20 saves from 20 shots - (1.000): W: 2-1-1: 54:46 minutes Alfred Fields (F24): 1 saves from 4 shots - (0.250): 5:14 minutes ,Farm Team 4,FT4,3,Owen Richards(7): Josh Garcia(29:30),Zhaxylyk Kolesnikova (FT4): 21 saves from 25 shots - (0.840): L: 42-30-6: 60:00 minutes 
Farm956,LTLHL-Farm-956.php,Farm Team 5,FT5,1,Kurt Johnstone(22),Israel Espinoza (FT5): 27 saves from 28 shots - (0.964): OTL: 28-37-12: 65:00 minutes ,Farm Team 6,FT6,2,Wilfred Saunders(15),Stanley Chambers (FT6): 23 saves from 24 shots - (0.958): W: 50-17-11: 65:00 minutes 
Farm957,LTLHL-Farm-957.php,Farm Team 8,FT8,4,Ernest Caron(9): Mario Hosseini(9): Ivan Jiang(50:51),Ahmet Moller (FT8): 39 saves from 41 shots - (0.951): W: 34-33-9: 60:00 minutes ,Farm Team 10,F10,2,Antonio Keller(11): Wesley Atkinson(5),Aslan Afonina (F10): 7 saves from 10 shots - (0.700): L: 39-29-9: 14:57 minutes Alex Bergman (F10): 19 saves from 20 shots - (0.950): 45:03 minutes 
Farm958,LTLHL-Farm-958.php,Farm Team 16,F16,0,,Evan Tucker (F16): 17 saves from 18 shots - (0.944): 35:31 minutes Rob Dickson (F16): 15 saves from 18 shots - (0.833): L: 47-20-8: 24:29 minutes ,Farm Team 20,F20,4,Wilfred Cook(27:28:29): Seth Mcintosh(2),Mustafa Bolatov (F20): 22 saves from 22 shots - (1.000): W: 42-27-5: 60:00 minutes 
Farm959,LTLHL-Farm-959.php,Farm Team 7,FT7,0,,David Terekhov (FT7): 24 saves from 27 shots - (0.889): L: 30-45-4: 42:20 minutes Leevi Juntunen (FT7): 9 saves from 9 shots - (1.000): 17:40 minutes ,Farm Team 9,FT9,3,Isaac Short(42:43): Al Zhang(49),Dave Cherry (FT9): 20 saves from 20 shots - (1.000): W: 54-20-3: 60:00 minutes 
Pro951,LTLHL-951.php,Team 2,TM2,3,Tikhon Bocharova(20): Teijo Himanen(11): Rogelio Donovan(5),Blake Hansen (TM2): 26 saves from 29 shots - (0.897): OTL: 52-17-8: 65:00 minutes ,Team 6,TM6,4,Johnny Fry(7): Gus Richard(29): Mitchell Allard(41),Khaled Mohammadi (TM6): 29 saves from 32 shots - (0.906): W: 39-24-12: 65:00 minutes 
