Game Number,Day,Play,Visitor Team,Visitor Score,Home Team,Home Score,Overtime,Shutout,Link,Empty
1,1,True,12,3,8,0,False,False,LTLHL-Farm-1.php,
2,1,True,9,3,21,5,False,False,LTLHL-Farm-2.php,
3,1,True,5,6,13,2,False,False,LTLHL-Farm-3.php,
4,1,True,1,6,17,2,False,False,LTLHL-Farm-4.php,
5,1,True,16,1,2,5,False,False,LTLHL-Farm-5.php,
6,1,True,20,3,24,4,False,False,LTLHL-Farm-6.php,
7,2,True,15,2,3,3,False,False,LTLHL-Farm-7.php,
8,2,True,6,0,22,1,True,True,LTLHL-Farm-8.php,
9,2,True,11,3,7,2,True,True,LTLHL-Farm-9.php,
10,2,True,14,3,10,4,True,True,LTLHL-Farm-10.php,
11,3,True,18,2,4,3,False,False,LTLHL-Farm-11.php,
12,3,True,23,1,19,4,False,False,LTLHL-Farm-12.php,
13,3,True,24,4,12,1,False,False,LTLHL-Farm-13.php,
14,3,True,21,1,9,3,False,False,LTLHL-Farm-14.php,
15,3,True,17,3,1,2,True,False,LTLHL-Farm-15.php,
16,3,True,13,3,5,2,True,True,LTLHL-Farm-16.php,
17,4,True,10,0,14,3,False,False,LTLHL-Farm-17.php,
18,4,True,7,4,11,0,False,False,LTLHL-Farm-18.php,
19,4,True,3,3,15,6,False,False,LTLHL-Farm-19.php,
20,4,True,16,2,6,3,False,False,LTLHL-Farm-20.php,
21,5,True,19,4,23,3,True,False,LTLHL-Farm-21.php,
22,5,True,4,0,18,1,False,False,LTLHL-Farm-22.php,
23,5,True,12,1,20,5,False,False,LTLHL-Farm-23.php,
24,5,True,2,4,16,2,False,False,LTLHL-Farm-24.php,
25,6,True,24,3,8,2,True,False,LTLHL-Farm-25.php,
26,6,True,2,5,22,0,False,False,LTLHL-Farm-26.php,
27,6,True,19,0,7,3,False,False,LTLHL-Farm-27.php,
28,6,True,13,2,15,6,False,False,LTLHL-Farm-28.php,
29,7,True,4,6,14,1,False,False,LTLHL-Farm-29.php,
30,7,True,21,3,17,4,False,False,LTLHL-Farm-30.php,
31,7,True,5,2,3,4,False,False,LTLHL-Farm-31.php,
32,7,True,10,1,18,0,False,False,LTLHL-Farm-32.php,
33,7,True,23,3,11,0,False,False,LTLHL-Farm-33.php,
34,8,True,1,3,9,4,True,True,LTLHL-Farm-34.php,
35,8,True,22,4,6,2,False,False,LTLHL-Farm-35.php,
36,8,True,8,4,20,6,False,False,LTLHL-Farm-36.php,
37,8,True,24,1,12,5,False,False,LTLHL-Farm-37.php,
38,8,True,15,3,13,4,True,False,LTLHL-Farm-38.php,
39,8,True,2,2,16,4,False,False,LTLHL-Farm-39.php,
40,9,True,11,3,19,1,False,False,LTLHL-Farm-40.php,
41,9,True,17,3,21,2,True,False,LTLHL-Farm-41.php,
42,9,True,7,3,23,2,True,True,LTLHL-Farm-42.php,
43,9,True,10,2,4,4,False,False,LTLHL-Farm-43.php,
44,9,True,3,1,5,5,False,False,LTLHL-Farm-44.php,
45,9,True,9,4,1,3,False,False,LTLHL-Farm-45.php,
46,10,True,12,4,24,3,True,False,LTLHL-Farm-46.php,
47,10,True,22,3,2,2,False,False,LTLHL-Farm-47.php,
48,10,True,18,3,10,2,True,False,LTLHL-Farm-48.php,
49,10,True,4,2,14,4,False,False,LTLHL-Farm-49.php,
50,11,True,16,3,6,2,True,False,LTLHL-Farm-50.php,
51,11,True,20,2,8,1,False,False,LTLHL-Farm-51.php,
52,11,True,19,0,11,3,False,False,LTLHL-Farm-52.php,
53,11,True,23,4,7,0,False,False,LTLHL-Farm-53.php,
54,12,True,13,2,3,5,False,False,LTLHL-Farm-54.php,
55,12,True,1,2,21,3,False,False,LTLHL-Farm-55.php,
56,12,True,15,6,5,0,False,False,LTLHL-Farm-56.php,
57,12,True,17,3,9,1,False,False,LTLHL-Farm-57.php,
58,12,True,16,3,22,1,False,False,LTLHL-Farm-58.php,
59,12,True,14,2,18,3,True,False,LTLHL-Farm-59.php,
60,13,True,24,1,20,3,False,False,LTLHL-Farm-60.php,
61,13,True,7,4,19,2,False,False,LTLHL-Farm-61.php,
62,13,True,6,3,2,1,False,False,LTLHL-Farm-62.php,
63,13,True,4,2,10,3,True,False,LTLHL-Farm-63.php,
64,13,True,8,2,12,3,True,True,LTLHL-Farm-64.php,
65,13,True,11,0,23,2,False,False,LTLHL-Farm-65.php,
66,14,True,5,3,15,5,False,False,LTLHL-Farm-66.php,
67,14,True,9,3,17,2,True,False,LTLHL-Farm-67.php,
68,14,True,21,3,1,4,False,False,LTLHL-Farm-68.php,
69,14,True,3,4,13,2,False,False,LTLHL-Farm-69.php,
70,14,True,14,0,4,3,False,False,LTLHL-Farm-70.php,
