Number,Name,Abbre,City,Division,Conference,Captain,Assistant #1,Assistant #2,ArenaCapacity #1,ArenaCapacity #2,TicketPrice #1,TicketPrice #2,Attendance #1,Attendance #2,ScheduleGameInAYear,SalaryCapToDate,SalaryCapPerDay,TotalPlayersSalaries,TotalPlayersSalariesAverage,Expenses Per Days,TotalAttendance,TotalIncome,ExpenseThisSeason,SeasonTicketPCT,TeamPopularity,CoachID,Empty3,Morale,PowerRanking,StandingPlayoffTitle,DidNotMakePlayoff,PlayOffWinRound,PlayOffEliminated,UniqueID,EstimatedRevenue,EstimatedSeasonExpense,Empty4,Empty5,Streak,Last10W,Last10L,Last10T,Last10OTW,Last10OTL,Last10SOW,Last10SOL,GP,W,L,T,OTW,OTL,SOW,SOL,Points,GF,GA,HomeGP,HomeW,HomeL,HomeT,HomeOTW,HomeOTL,HomeSOW,HomeSOL,HomeGF,HomeGA,PPAttemp,PPGoal,PKAttemp,PKGoalGA,PKGoalGF,ShotsFor,ShotsAga,ShotsBlock,ShotsPerPeriod #1,ShotsPerPeriod #2,ShotsPerPeriod #3,ShotsPerPeriod #4,GoalsPerPeriod #1,GoalsPerPeriod #2,GoalsPerPeriod #3,GoalsPerPeriod #4,PuckTimeInZone DF,PuckTimeInZone OF,PuckTimeInZone NT,PuckTimeControlinZone DF,PuckTimeControlinZone OF,PuckTimeControlinZone NT,Shutouts,TotalGoal,TotalAssist,TotalPoint,Pim,Hits,Face Off Won Defensif Zone, Face Off Total Defensif Zone,Face Off Won Offensif Zone,Face Off Total Offensif Zone,Face Off Won Neutral Zone,Face Off Total Neutral Zone,EmptyNetGoal,
1,Farm Team 1,FT1,,Division 4,Conference 2,0,0,0,2000,1000,35,15,75515,38124,80,8107722,0,8064839,8064839,48217,113639,4018606,9113013,10,100,58,,50,20,X,False,0,False,1,0,0,,,W1,5,4,0,0,1,0,0,80,33,32,0,7,3,1,4,89,200,195,40,19,13,0,4,2,1,1,108,97,293,44,301,45,2,2067,2277,603,721,665,644,53,80,66,46,11,114984,115544,60536,35767,79942,29779,4,200,345,545,673,2019,1320,2567,1303,2507,613,1172,2
2,Farm Team 2,FT2,,Division 3,Conference 1,0,0,0,2000,1000,35,15,75819,37452,80,8249283,0,8205717,8205717,48967,113271,4019306,9254763,10,100,14,,50,10,X,False,0,False,2,0,0,,,L2,4,4,0,0,1,0,1,80,47,23,0,2,4,1,3,107,202,154,40,21,13,0,2,2,0,2,89,74,262,32,211,29,5,2392,1899,547,778,793,809,25,81,68,50,3,106709,121413,61927,35331,85183,31168,11,202,361,563,479,1730,1319,2419,1464,2763,613,1123,1
3,Farm Team 3,FT3,,Division 6,Conference 2,0,0,0,2000,1000,35,15,74732,37679,80,7984494,0,7942174,7942174,47565,112411,3976008,8989785,10,100,41,,50,4,X,False,0,False,3,0,0,,,W1,2,7,0,0,0,0,1,80,28,26,0,10,9,3,4,95,239,224,40,17,14,0,4,3,1,1,113,106,268,75,316,57,2,2578,2310,692,822,856,839,89,69,78,79,16,122039,110077,61070,36543,74640,29759,5,239,420,659,687,2125,1327,2668,1455,2827,596,1204,2
4,Farm Team 4,FT4,,Division 1,Conference 1,0,0,0,2000,1000,35,15,74925,37634,80,8518230,0,8473230,8473230,50390,112559,3983607,9523710,10,100,37,,50,9,X,False,0,False,4,0,0,,,L1,3,6,0,0,1,0,0,80,37,32,0,3,4,2,2,90,197,174,40,20,14,0,1,1,2,2,102,81,254,48,278,46,5,2145,2079,632,733,689,707,26,73,59,60,7,116092,112909,61193,35818,76886,30363,9,197,350,547,636,2051,1210,2603,1158,2567,579,1150,3
5,Farm Team 5,FT5,,Division 6,Conference 2,0,0,0,2000,1000,35,15,75964,37798,80,7821009,0,7779540,7779540,46700,113762,4032138,8826300,10,100,38,,50,12,E,False,0,False,5,0,0,,,SOL1,5,4,0,0,0,0,1,80,25,38,0,4,7,1,5,72,166,219,40,16,15,0,3,5,0,1,95,111,254,43,305,59,1,1968,2359,712,668,633,637,56,59,52,50,12,120360,109245,61659,36586,73648,29868,3,166,307,473,697,2077,1390,2732,1250,2467,568,1155,1
6,Farm Team 6,FT6,,Division 3,Conference 1,0,0,0,2000,1000,35,15,74769,37722,80,9294642,0,9245382,9245382,54497,112491,3978432,10299933,10,100,10,,50,22,Z,False,0,False,6,0,0,,,W2,7,2,0,0,0,0,1,80,40,19,0,4,6,6,5,111,207,165,40,21,7,0,2,5,4,1,106,83,283,34,303,40,1,2076,1981,573,667,668,699,88,69,57,71,18,112004,117685,62505,36151,80616,31517,6,207,369,576,706,1996,1311,2512,1393,2525,627,1117,1
7,Farm Team 7,FT7,,Division 5,Conference 2,0,0,0,2000,1000,35,15,75996,38259,80,7342083,0,7303256,7303256,44166,114255,4042183,8347374,10,100,67,,50,23,X,False,0,False,7,0,0,,,L3,4,6,0,0,0,0,0,80,25,46,0,0,1,5,3,64,152,214,40,11,25,0,0,1,1,2,71,120,243,37,281,54,2,1766,2169,625,582,568,601,49,48,50,49,9,120022,109355,61194,36149,74045,29847,8,152,262,414,657,1937,1188,2550,1165,2306,509,1057,0
8,Farm Team 8,FT8,,Division 2,Conference 1,0,0,0,2000,1000,35,15,76639,37987,80,8081829,0,8039088,8039088,48080,114626,4065214,9087120,10,100,4,,50,13,E,False,0,False,8,0,0,,,W3,7,2,0,0,1,0,0,80,27,36,0,4,4,3,6,78,156,186,40,14,16,0,2,3,3,2,83,87,269,34,303,54,7,1840,2093,607,557,625,629,61,45,51,53,10,113932,115837,61894,36191,79682,30548,6,156,272,428,734,2042,1251,2624,1184,2412,502,1096,2
9,Farm Team 9,FT9,,Division 4,Conference 2,0,0,0,2000,1000,35,15,75678,38048,80,8277444,0,8233680,8233680,49115,113726,4024313,9282735,10,100,28,,50,7,Y,False,0,False,9,0,0,,,W6,8,2,0,0,0,0,0,80,46,23,0,2,2,6,1,111,245,179,40,25,8,0,0,2,5,0,129,81,280,65,301,38,1,2614,2147,610,886,890,812,53,76,100,61,14,112508,116554,61759,36215,79461,31551,8,245,422,667,670,2052,1317,2507,1501,3006,651,1218,1
10,Farm Team 10,F10,,Division 1,Conference 1,0,0,0,2000,1000,35,15,75257,37596,80,8156673,0,8113438,8113438,48476,112853,3997417,9161964,10,100,29,,50,5,Y,False,0,False,10,0,0,,,L1,4,5,0,0,0,0,1,80,33,29,0,7,5,2,4,93,174,166,40,16,13,0,4,4,1,2,87,83,265,49,212,30,4,2075,2075,635,676,652,705,61,65,47,53,10,118113,111679,61535,35902,75975,30818,13,174,313,487,502,1724,1304,2546,1334,2572,565,1109,0
