Number,Transaction,DateTime,Empty
1,Aleksandr Borisenko was picked by Team 17 as the 738 overall pick in the fantasy draft.,2022-07-23 6:49:28 PM,
2,Carl Hu was added to Team 15.,2022-07-23 6:49:28 PM,
3,Carl Hu was picked by Team 15 as the 739 overall pick in the fantasy draft.,2022-07-23 6:49:28 PM,
4,Ted Rush was added to Team 3.,2022-07-23 6:49:28 PM,
5,Ted Rush was picked by Team 3 as the 740 overall pick in the fantasy draft.,2022-07-23 6:49:28 PM,
6,Damir Melnik was added to Team 7.,2022-07-23 6:49:28 PM,
7,Damir Melnik was picked by Team 7 as the 741 overall pick in the fantasy draft.,2022-07-23 6:49:28 PM,
8,Antonio Keller was added to Team 10.,2022-07-23 6:49:28 PM,
9,Antonio Keller was picked by Team 10 as the 742 overall pick in the fantasy draft.,2022-07-23 6:49:28 PM,
10,Kenneth Kelly was added to Team 16.,2022-07-23 6:49:28 PM,
11,Kenneth Kelly was picked by Team 16 as the 743 overall pick in the fantasy draft.,2022-07-23 6:49:28 PM,
12,Steven Liu was added to Team 13.,2022-07-23 6:49:28 PM,
13,Steven Liu was picked by Team 13 as the 744 overall pick in the fantasy draft.,2022-07-23 6:49:28 PM,
14,Albert Jakobsson was added to Team 13.,2022-07-23 6:49:28 PM,
15,Albert Jakobsson was picked by Team 13 as the 745 overall pick in the fantasy draft.,2022-07-23 6:49:28 PM,
16,Ed Leonard was added to Team 16.,2022-07-23 6:49:28 PM,
17,Ed Leonard was picked by Team 16 as the 746 overall pick in the fantasy draft.,2022-07-23 6:49:28 PM,
18,Juha Simonen was added to Team 10.,2022-07-23 6:49:28 PM,
19,Juha Simonen was picked by Team 10 as the 747 overall pick in the fantasy draft.,2022-07-23 6:49:28 PM,
20,Jarno Kopra was added to Team 7.,2022-07-23 6:49:28 PM,
21,Jarno Kopra was picked by Team 7 as the 748 overall pick in the fantasy draft.,2022-07-23 6:49:28 PM,
22,Armen Minko was added to Team 3.,2022-07-23 6:49:28 PM,
23,Armen Minko was picked by Team 3 as the 749 overall pick in the fantasy draft.,2022-07-23 6:49:28 PM,
24,Aleksei Malkova was added to Team 15.,2022-07-23 6:49:28 PM,
25,Aleksei Malkova was picked by Team 15 as the 750 overall pick in the fantasy draft.,2022-07-23 6:49:28 PM,
26,Kevin Whalen was added to Team 17.,2022-07-23 6:49:28 PM,
27,Kevin Whalen was picked by Team 17 as the 751 overall pick in the fantasy draft.,2022-07-23 6:49:28 PM,
28,Omar Aman was added to Team 23.,2022-07-23 6:49:28 PM,
29,Omar Aman was picked by Team 23 as the 752 overall pick in the fantasy draft.,2022-07-23 6:49:28 PM,
30,Harri Naumanen was added to Team 19.,2022-07-23 6:49:28 PM,
31,Harri Naumanen was picked by Team 19 as the 753 overall pick in the fantasy draft.,2022-07-23 6:49:28 PM,
32,Jussi Pellinen was added to Team 1.,2022-07-23 6:49:28 PM,
33,Jussi Pellinen was picked by Team 1 as the 754 overall pick in the fantasy draft.,2022-07-23 6:49:28 PM,
34,Drew Patenaude was added to Team 22.,2022-07-23 6:49:28 PM,
35,Drew Patenaude was picked by Team 22 as the 755 overall pick in the fantasy draft.,2022-07-23 6:49:28 PM,
36,Aydyn Karpov was added to Team 2.,2022-07-23 6:49:28 PM,
37,Aydyn Karpov was picked by Team 2 as the 756 overall pick in the fantasy draft.,2022-07-23 6:49:28 PM,
38,Dylan Racine was added to Team 6.,2022-07-23 6:49:28 PM,
39,Dylan Racine was picked by Team 6 as the 757 overall pick in the fantasy draft.,2022-07-23 6:49:28 PM,
40,Vladimir Pankova was added to Team 24.,2022-07-23 6:49:28 PM,
41,Vladimir Pankova was picked by Team 24 as the 758 overall pick in the fantasy draft.,2022-07-23 6:49:28 PM,
42,Billy Christensson was added to Team 18.,2022-07-23 6:49:28 PM,
43,Billy Christensson was picked by Team 18 as the 759 overall pick in the fantasy draft.,2022-07-23 6:49:28 PM,
44,Gottfried Ludtke was added to Team 14.,2022-07-23 6:49:28 PM,
45,Gottfried Ludtke was picked by Team 14 as the 760 overall pick in the fantasy draft.,2022-07-23 6:49:28 PM,
46,Gosta Melin was added to Team 5.,2022-07-23 6:49:28 PM,
47,Gosta Melin was picked by Team 5 as the 761 overall pick in the fantasy draft.,2022-07-23 6:49:28 PM,
48,Serafim Abdullina was added to Team 12.,2022-07-23 6:49:28 PM,
49,Serafim Abdullina was picked by Team 12 as the 762 overall pick in the fantasy draft.,2022-07-23 6:49:28 PM,
50,Ramzan Kolesnik was added to Team 9.,2022-07-23 6:49:28 PM,
51,Ramzan Kolesnik was picked by Team 9 as the 763 overall pick in the fantasy draft.,2022-07-23 6:49:28 PM,
52,Erich Linder was added to Team 20.,2022-07-23 6:49:28 PM,
53,Erich Linder was picked by Team 20 as the 764 overall pick in the fantasy draft.,2022-07-23 6:49:28 PM,
54,Philip Evdokimova was added to Team 11.,2022-07-23 6:49:28 PM,
55,Philip Evdokimova was picked by Team 11 as the 765 overall pick in the fantasy draft.,2022-07-23 6:49:28 PM,
56,Ingvar Gulliksen was added to Team 21.,2022-07-23 6:49:28 PM,
57,Ingvar Gulliksen was picked by Team 21 as the 766 overall pick in the fantasy draft.,2022-07-23 6:49:28 PM,
58,Anssi Mikkola was added to Team 8.,2022-07-23 6:49:28 PM,
59,Anssi Mikkola was picked by Team 8 as the 767 overall pick in the fantasy draft.,2022-07-23 6:49:28 PM,
60,Owen Richards was added to Team 4.,2022-07-23 6:49:28 PM,
61,Owen Richards was picked by Team 4 as the 768 overall pick in the fantasy draft.,2022-07-23 6:49:28 PM,
62,Jari-Pekka Koivistoinen was added to Team 4.,2022-07-23 6:49:28 PM,
63,Jari-Pekka Koivistoinen was picked by Team 4 as the 769 overall pick in the fantasy draft.,2022-07-23 6:49:28 PM,
64,Ernest Caron was added to Team 8.,2022-07-23 6:49:28 PM,
65,Ernest Caron was picked by Team 8 as the 770 overall pick in the fantasy draft.,2022-07-23 6:49:28 PM,
66,Gabriel Green was added to Team 21.,2022-07-23 6:49:28 PM,
67,Gabriel Green was picked by Team 21 as the 771 overall pick in the fantasy draft.,2022-07-23 6:49:28 PM,
68,Elmar Liedtke was added to Team 11.,2022-07-23 6:49:28 PM,
69,Elmar Liedtke was picked by Team 11 as the 772 overall pick in the fantasy draft.,2022-07-23 6:49:28 PM,
70,Samuel Dupont was added to Team 20.,2022-07-23 6:49:28 PM,
71,Samuel Dupont was picked by Team 20 as the 773 overall pick in the fantasy draft.,2022-07-23 6:49:28 PM,
72,Franklin Bolton was added to Team 9.,2022-07-23 6:49:28 PM,
73,Franklin Bolton was picked by Team 9 as the 774 overall pick in the fantasy draft.,2022-07-23 6:49:28 PM,
74,Les Pellerin was added to Team 12.,2022-07-23 6:49:28 PM,
75,Les Pellerin was picked by Team 12 as the 775 overall pick in the fantasy draft.,2022-07-23 6:49:28 PM,
76,Herwig Ries was added to Team 5.,2022-07-23 6:49:28 PM,
77,Herwig Ries was picked by Team 5 as the 776 overall pick in the fantasy draft.,2022-07-23 6:49:28 PM,
78,Steven Ekstrom was added to Team 14.,2022-07-23 6:49:28 PM,
79,Steven Ekstrom was picked by Team 14 as the 777 overall pick in the fantasy draft.,2022-07-23 6:49:28 PM,
80,Hector Vasquez was added to Team 18.,2022-07-23 6:49:28 PM,
81,Hector Vasquez was picked by Team 18 as the 778 overall pick in the fantasy draft.,2022-07-23 6:49:28 PM,
82,Johnny Hughes was added to Team 24.,2022-07-23 6:49:28 PM,
