Game Number,Day,Play,Visitor Team,Visitor Score,Home Team,Home Score,Overtime,Shutout,Link,Empty
1,1,True,5,3,13,4,False,False,LTLHL-1.php,
2,1,True,2,3,16,0,False,False,LTLHL-2.php,
3,1,True,9,3,19,6,False,False,LTLHL-3.php,
4,1,True,18,2,14,1,False,False,LTLHL-4.php,
5,1,True,4,2,10,3,False,False,LTLHL-5.php,
6,1,True,7,4,23,1,False,False,LTLHL-6.php,
7,2,True,20,2,8,1,False,False,LTLHL-7.php,
8,2,True,11,2,15,4,False,False,LTLHL-8.php,
9,2,True,3,6,17,3,False,False,LTLHL-9.php,
10,2,True,1,4,21,1,False,False,LTLHL-10.php,
11,2,True,6,3,12,2,False,False,LTLHL-11.php,
12,2,True,22,2,24,3,True,False,LTLHL-12.php,
13,3,True,16,0,2,2,False,False,LTLHL-13.php,
14,3,True,5,4,9,6,False,False,LTLHL-14.php,
15,3,True,23,3,7,2,False,False,LTLHL-15.php,
16,3,True,10,1,4,4,False,False,LTLHL-16.php,
17,3,True,14,3,18,2,False,False,LTLHL-17.php,
18,3,True,1,3,3,2,True,True,LTLHL-18.php,
19,4,True,15,3,11,2,False,False,LTLHL-19.php,
20,4,True,8,3,6,4,True,False,LTLHL-20.php,
21,4,True,24,5,22,1,False,False,LTLHL-21.php,
22,4,True,12,5,20,2,False,False,LTLHL-22.php,
23,4,True,13,2,5,3,True,False,LTLHL-23.php,
24,4,True,21,2,17,3,False,False,LTLHL-24.php,
25,5,True,17,1,1,2,False,False,LTLHL-25.php,
26,5,True,13,1,19,2,False,False,LTLHL-26.php,
27,5,True,18,4,4,2,False,False,LTLHL-27.php,
28,5,True,7,5,9,6,True,True,LTLHL-28.php,
29,6,True,22,1,2,3,False,False,LTLHL-29.php,
30,6,True,14,3,10,2,False,False,LTLHL-30.php,
31,6,True,24,1,16,3,False,False,LTLHL-31.php,
32,6,True,6,3,20,4,False,False,LTLHL-32.php,
33,6,True,21,2,3,3,True,False,LTLHL-33.php,
34,6,True,23,5,15,2,False,False,LTLHL-34.php,
35,7,True,12,3,8,4,True,True,LTLHL-35.php,
36,7,True,7,1,11,3,False,False,LTLHL-36.php,
37,7,True,4,2,18,7,False,False,LTLHL-37.php,
38,7,True,19,2,5,1,True,False,LTLHL-38.php,
39,7,True,20,0,6,3,False,False,LTLHL-39.php,
40,7,True,9,4,13,3,False,False,LTLHL-40.php,
41,8,True,16,1,24,5,False,False,LTLHL-41.php,
42,8,True,17,2,21,3,False,False,LTLHL-42.php,
43,8,True,3,1,1,4,False,False,LTLHL-43.php,
44,8,True,10,1,14,3,False,False,LTLHL-44.php,
45,9,True,2,4,22,2,False,False,LTLHL-45.php,
46,9,True,11,2,23,1,False,False,LTLHL-46.php,
47,9,True,8,0,12,7,False,False,LTLHL-47.php,
48,9,True,15,1,7,3,False,False,LTLHL-48.php,
49,9,True,5,2,19,3,True,True,LTLHL-49.php,
50,9,True,14,3,4,4,True,True,LTLHL-50.php,
51,10,True,3,4,21,3,True,True,LTLHL-51.php,
52,10,True,10,2,18,1,False,False,LTLHL-52.php,
53,10,True,19,3,13,2,False,False,LTLHL-53.php,
54,10,True,8,2,20,0,False,False,LTLHL-54.php,
55,11,True,15,4,23,3,False,False,LTLHL-55.php,
56,11,True,16,4,22,3,False,False,LTLHL-56.php,
57,11,True,2,3,24,1,False,False,LTLHL-57.php,
58,11,True,21,1,1,3,False,False,LTLHL-58.php,
59,11,True,12,2,6,1,True,False,LTLHL-59.php,
60,11,True,13,2,9,4,False,False,LTLHL-60.php,
61,12,True,23,3,11,1,False,False,LTLHL-61.php,
62,12,True,1,5,17,2,False,False,LTLHL-62.php,
63,12,True,7,1,3,4,False,False,LTLHL-63.php,
64,12,True,9,3,5,1,False,False,LTLHL-64.php,
65,13,True,24,2,2,4,False,False,LTLHL-65.php,
66,13,True,7,3,15,4,False,False,LTLHL-66.php,
67,13,True,6,3,8,4,True,True,LTLHL-67.php,
68,13,True,4,5,14,1,False,False,LTLHL-68.php,
69,14,True,18,2,10,3,False,False,LTLHL-69.php,
70,14,True,20,4,12,2,False,False,LTLHL-70.php,
71,14,True,22,2,16,0,False,False,LTLHL-71.php,
72,14,True,15,0,11,2,False,False,LTLHL-72.php,
73,14,True,3,3,17,2,True,True,LTLHL-73.php,
74,14,True,13,9,19,2,False,False,LTLHL-74.php,
75,15,True,11,6,7,5,False,False,LTLHL-75.php,
76,15,True,9,2,5,5,False,False,LTLHL-76.php,
77,15,True,4,4,14,2,False,False,LTLHL-77.php,
78,15,True,1,3,23,2,True,False,LTLHL-78.php,
79,15,True,3,0,21,2,False,False,LTLHL-79.php,
80,16,True,22,0,2,1,False,False,LTLHL-80.php,
81,16,True,12,3,8,2,False,False,LTLHL-81.php,
82,16,True,20,0,6,3,False,False,LTLHL-82.php,
83,16,True,18,3,10,5,False,False,LTLHL-83.php,
84,16,True,24,1,16,4,False,False,LTLHL-84.php,
85,16,True,19,4,13,3,False,False,LTLHL-85.php,
86,17,True,14,5,4,3,False,False,LTLHL-86.php,
87,17,True,21,3,1,1,False,False,LTLHL-87.php,
88,17,True,19,2,9,4,False,False,LTLHL-88.php,
89,17,True,23,3,15,2,True,False,LTLHL-89.php,
90,17,True,16,0,24,4,False,False,LTLHL-90.php,
91,17,True,2,4,22,2,False,False,LTLHL-91.php,
92,18,True,6,1,12,4,False,False,LTLHL-92.php,
93,18,True,10,4,18,3,False,False,LTLHL-93.php,
