Number,Team,Transaction,DateTime,Empty
1,10,Josh Caldwell was added to Team 10.,2022-07-20 6:13:00 PM,
2,10,Jean-Guy Landry was picked by Team 10 as the 1 overall pick in the fantasy draft.,2022-07-20 6:13:00 PM,
3,6,Chris Hahn was added to Team 6.,2022-07-20 6:13:00 PM,
4,6,Jean-Guy Landry was picked by Team 6 as the 2 overall pick in the fantasy draft.,2022-07-20 6:13:00 PM,
5,12,Ded Mikhaylenko was added to Team 12.,2022-07-20 6:13:00 PM,
6,12,Brett Foster was picked by Team 12 as the 3 overall pick in the fantasy draft.,2022-07-20 6:13:00 PM,
7,17,Billy Klang was added to Team 17.,2022-07-20 6:13:00 PM,
8,17,Brett Foster was picked by Team 17 as the 4 overall pick in the fantasy draft.,2022-07-20 6:13:00 PM,
9,5,Lance Farley was added to Team 5.,2022-07-20 6:13:00 PM,
10,5,Brett Foster was picked by Team 5 as the 5 overall pick in the fantasy draft.,2022-07-20 6:13:00 PM,
11,3,Dennis Morin was added to Team 3.,2022-07-20 6:13:00 PM,
12,3,Brett Foster was picked by Team 3 as the 6 overall pick in the fantasy draft.,2022-07-20 6:13:00 PM,
13,19,Bradley Pearce was added to Team 19.,2022-07-20 6:13:00 PM,
14,19,Karim Morton was picked by Team 19 as the 7 overall pick in the fantasy draft.,2022-07-20 6:13:00 PM,
15,9,Angelo Figueroa was added to Team 9.,2022-07-20 6:13:00 PM,
16,9,Karim Morton was picked by Team 9 as the 8 overall pick in the fantasy draft.,2022-07-20 6:13:00 PM,
17,22,Jorge Plouffe was added to Team 22.,2022-07-20 6:13:00 PM,
18,22,Karim Morton was picked by Team 22 as the 9 overall pick in the fantasy draft.,2022-07-20 6:13:00 PM,
19,18,Larry Donaldson was added to Team 18.,2022-07-20 6:13:00 PM,
20,18,Karim Morton was picked by Team 18 as the 10 overall pick in the fantasy draft.,2022-07-20 6:13:00 PM,
21,8,Yannick Tran was added to Team 8.,2022-07-20 6:13:00 PM,
22,8,Richard Lemay was picked by Team 8 as the 11 overall pick in the fantasy draft.,2022-07-20 6:13:00 PM,
23,24,Edin Thorsell was added to Team 24.,2022-07-20 6:13:00 PM,
24,24,Richard Lemay was picked by Team 24 as the 12 overall pick in the fantasy draft.,2022-07-20 6:13:00 PM,
25,4,Harri Timonen was added to Team 4.,2022-07-20 6:13:00 PM,
26,4,Richard Lemay was picked by Team 4 as the 13 overall pick in the fantasy draft.,2022-07-20 6:13:00 PM,
27,20,Knut Wennberg was added to Team 20.,2022-07-20 6:13:00 PM,
28,20,Richard Lemay was picked by Team 20 as the 14 overall pick in the fantasy draft.,2022-07-20 6:13:00 PM,
29,13,Charles Bell was added to Team 13.,2022-07-20 6:13:00 PM,
30,13,Richard Lemay was picked by Team 13 as the 15 overall pick in the fantasy draft.,2022-07-20 6:13:00 PM,
31,23,Tyrone Scott was added to Team 23.,2022-07-20 6:13:00 PM,
32,23,Richard Lemay was picked by Team 23 as the 16 overall pick in the fantasy draft.,2022-07-20 6:13:00 PM,
33,14,Murray Leroux was added to Team 14.,2022-07-20 6:13:00 PM,
34,14,Richard Lemay was picked by Team 14 as the 17 overall pick in the fantasy draft.,2022-07-20 6:13:00 PM,
35,21,Ricardo Tate was added to Team 21.,2022-07-20 6:13:00 PM,
36,21,Richard Lemay was picked by Team 21 as the 18 overall pick in the fantasy draft.,2022-07-20 6:13:00 PM,
37,7,Joachim Boman was added to Team 7.,2022-07-20 6:13:00 PM,
38,7,Richard Lemay was picked by Team 7 as the 19 overall pick in the fantasy draft.,2022-07-20 6:13:00 PM,
39,15,Dustin Belanger was added to Team 15.,2022-07-20 6:13:00 PM,
40,15,Richard Lemay was picked by Team 15 as the 20 overall pick in the fantasy draft.,2022-07-20 6:13:00 PM,
41,2,Lloyd Costa was added to Team 2.,2022-07-20 6:13:00 PM,
42,2,Richard Lemay was picked by Team 2 as the 21 overall pick in the fantasy draft.,2022-07-20 6:13:00 PM,
43,16,Antoine Corriveau was added to Team 16.,2022-07-20 6:13:00 PM,
44,16,Richard Lemay was picked by Team 16 as the 22 overall pick in the fantasy draft.,2022-07-20 6:13:00 PM,
45,1,Aygiz Korchagin was added to Team 1.,2022-07-20 6:13:00 PM,
46,1,Richard Lemay was picked by Team 1 as the 23 overall pick in the fantasy draft.,2022-07-20 6:13:00 PM,
47,11,Timur Belyakov was added to Team 11.,2022-07-20 6:13:00 PM,
48,11,Richard Lemay was picked by Team 11 as the 24 overall pick in the fantasy draft.,2022-07-20 6:13:00 PM,
49,11,Remi Robert was added to Team 11.,2022-07-20 6:13:00 PM,
50,11,Richard Lemay was picked by Team 11 as the 25 overall pick in the fantasy draft.,2022-07-20 6:13:00 PM,
51,1,Alfonso Patel was added to Team 1.,2022-07-20 6:13:00 PM,
52,1,Richard Lemay was picked by Team 1 as the 26 overall pick in the fantasy draft.,2022-07-20 6:13:00 PM,
53,16,Krister Ronnback was added to Team 16.,2022-07-20 6:13:00 PM,
54,16,Max Blackburn was picked by Team 16 as the 27 overall pick in the fantasy draft.,2022-07-20 6:13:00 PM,
55,2,Brandon Langevin was added to Team 2.,2022-07-20 6:13:00 PM,
56,2,Max Blackburn was picked by Team 2 as the 28 overall pick in the fantasy draft.,2022-07-20 6:13:00 PM,
57,15,Dave Hunt was added to Team 15.,2022-07-20 6:13:00 PM,
58,15,Max Blackburn was picked by Team 15 as the 29 overall pick in the fantasy draft.,2022-07-20 6:13:00 PM,
59,7,Don Cousineau was added to Team 7.,2022-07-20 6:13:00 PM,
60,7,Max Blackburn was picked by Team 7 as the 30 overall pick in the fantasy draft.,2022-07-20 6:13:00 PM,
61,21,Benoit Poole was added to Team 21.,2022-07-20 6:13:00 PM,
62,21,Max Blackburn was picked by Team 21 as the 31 overall pick in the fantasy draft.,2022-07-20 6:13:00 PM,
63,14,Bill Reese was added to Team 14.,2022-07-20 6:13:00 PM,
64,14,Max Blackburn was picked by Team 14 as the 32 overall pick in the fantasy draft.,2022-07-20 6:13:00 PM,
65,23,Todd Hynes was added to Team 23.,2022-07-20 6:13:00 PM,
66,23,Max Blackburn was picked by Team 23 as the 33 overall pick in the fantasy draft.,2022-07-20 6:13:00 PM,
67,13,Sebastian Varga was added to Team 13.,2022-07-20 6:13:00 PM,
68,13,Max Blackburn was picked by Team 13 as the 34 overall pick in the fantasy draft.,2022-07-20 6:13:00 PM,
69,20,Micheal Briere was added to Team 20.,2022-07-20 6:13:00 PM,
70,20,Max Blackburn was picked by Team 20 as the 35 overall pick in the fantasy draft.,2022-07-20 6:13:00 PM,
71,4,Ernesto Dougherty was added to Team 4.,2022-07-20 6:13:00 PM,
72,4,Max Blackburn was picked by Team 4 as the 36 overall pick in the fantasy draft.,2022-07-20 6:13:00 PM,
73,24,Vernon Kaur was added to Team 24.,2022-07-20 6:13:00 PM,
74,24,Max Blackburn was picked by Team 24 as the 37 overall pick in the fantasy draft.,2022-07-20 6:13:00 PM,
75,8,Larry Zhang was added to Team 8.,2022-07-20 6:13:00 PM,
76,8,Max Blackburn was picked by Team 8 as the 38 overall pick in the fantasy draft.,2022-07-20 6:13:00 PM,
77,18,Jonathan Bird was added to Team 18.,2022-07-20 6:13:00 PM,
78,18,Max Blackburn was picked by Team 18 as the 39 overall pick in the fantasy draft.,2022-07-20 6:13:00 PM,
79,22,Ilmo Piirainen was added to Team 22.,2022-07-20 6:13:00 PM,
80,22,Max Blackburn was picked by Team 22 as the 40 overall pick in the fantasy draft.,2022-07-20 6:13:00 PM,
81,9,Christian Dixon was added to Team 9.,2022-07-20 6:13:00 PM,
82,9,Max Blackburn was picked by Team 9 as the 41 overall pick in the fantasy draft.,2022-07-20 6:13:00 PM,
83,19,Steven Joseph was added to Team 19.,2022-07-20 6:13:00 PM,
84,19,Max Blackburn was picked by Team 19 as the 42 overall pick in the fantasy draft.,2022-07-20 6:13:00 PM,
85,3,Lawrence Nichols was added to Team 3.,2022-07-20 6:13:00 PM,
86,3,Max Blackburn was picked by Team 3 as the 43 overall pick in the fantasy draft.,2022-07-20 6:13:00 PM,
87,5,Christian Stephens was added to Team 5.,2022-07-20 6:13:00 PM,
88,5,Max Blackburn was picked by Team 5 as the 44 overall pick in the fantasy draft.,2022-07-20 6:13:00 PM,
89,17,Claes-Goran Nyman was added to Team 17.,2022-07-20 6:13:00 PM,
90,17,Max Blackburn was picked by Team 17 as the 45 overall pick in the fantasy draft.,2022-07-20 6:13:00 PM,
91,12,Tamerlan Grigoryev was added to Team 12.,2022-07-20 6:13:00 PM,
92,12,Max Blackburn was picked by Team 12 as the 46 overall pick in the fantasy draft.,2022-07-20 6:13:00 PM,
93,6,Greg Rodgers was added to Team 6.,2022-07-20 6:13:00 PM,
94,6,Max Blackburn was picked by Team 6 as the 47 overall pick in the fantasy draft.,2022-07-20 6:13:00 PM,
95,10,Hans-Hermann Raab was added to Team 10.,2022-07-20 6:13:00 PM,
